# timestamp tx ty tz qx qy qz qw
1649856227.767436 0.004886 0.000904 0.002801 0.000353 0.003750 0.005710 0.999977
1649856227.817433 0.006921 0.002074 0.004940 0.000072 0.006449 0.009723 0.999932
1649856227.867430 0.023835 -0.010695 0.001883 0.003626 0.013729 0.009246 0.999856
1649856227.917427 0.015317 -0.006836 0.007099 0.003160 0.016316 0.008630 0.999825
1649856227.967423 0.013772 -0.006597 0.006457 0.003508 0.015399 0.009142 0.999833
1649856228.017420 0.016588 -0.007410 0.004877 0.003867 0.014417 0.009429 0.999844
1649856228.067417 0.015012 -0.006283 0.005892 0.003767 0.014537 0.009112 0.999846
1649856228.117414 0.015392 -0.006012 0.005848 0.003758 0.014813 0.009045 0.999842
1649856228.142413 0.015471 -0.005886 0.005720 0.003730 0.014914 0.009048 0.999841
1649856228.192410 0.014710 -0.005220 0.005826 0.003640 0.015037 0.009017 0.999840
1649856228.242407 0.013695 -0.005062 0.005713 0.003669 0.015030 0.008910 0.999841
1649856228.292403 0.012441 -0.004720 0.005657 0.003709 0.014910 0.008872 0.999843
1649856228.317402 0.012756 -0.005058 0.005500 0.003706 0.014900 0.008690 0.999844
1649856228.342400 0.012505 -0.005240 0.005310 0.003740 0.014862 0.008633 0.999845
1649856228.392397 0.011279 -0.005012 0.005227 0.003704 0.014818 0.008562 0.999847
1649856228.442394 0.010131 -0.004999 0.005001 0.003712 0.014835 0.008445 0.999847
1649856228.492391 0.009190 -0.004738 0.005046 0.003666 0.014734 0.008477 0.999849
1649856228.517390 0.010179 -0.005229 0.004939 0.003655 0.014807 0.008474 0.999848
1649856228.542388 0.010573 -0.005377 0.005153 0.003624 0.014938 0.008573 0.999845
1649856228.592385 0.009877 -0.005265 0.005529 0.003632 0.014981 0.008643 0.999844
1649856228.642382 0.009256 -0.005194 0.005600 0.003659 0.014950 0.008446 0.999846
1649856228.692379 0.009044 -0.005162 0.005571 0.003645 0.014896 0.008541 0.999846
1649856228.742376 0.008500 -0.005366 0.005721 0.003658 0.014829 0.008394 0.999848
1649856228.792373 0.008149 -0.005278 0.006005 0.003639 0.014856 0.008516 0.999847
1649856228.842370 0.008901 -0.005299 0.005424 0.003692 0.014795 0.008308 0.999849
1649856228.892366 0.008593 -0.005100 0.005662 0.003670 0.014871 0.008350 0.999848
1649856228.942363 0.009139 -0.005119 0.005074 0.003660 0.014890 0.008236 0.999849
1649856228.992360 0.008545 -0.004975 0.005429 0.003605 0.014867 0.008277 0.999849
1649856229.042357 0.009399 -0.005124 0.004957 0.003702 0.014903 0.008309 0.999848
1649856229.092354 0.009090 -0.004987 0.005331 0.003647 0.014873 0.008450 0.999847
1649856229.117352 0.009552 -0.005271 0.005464 0.003600 0.014855 0.008365 0.999848
1649856229.142351 0.009602 -0.005412 0.005586 0.003590 0.014828 0.008366 0.999849
1649856229.192348 0.008811 -0.005345 0.005695 0.003565 0.014828 0.008377 0.999849
1649856229.242345 0.008797 -0.005463 0.005202 0.003628 0.014823 0.008265 0.999849
1649856229.292342 0.008261 -0.005386 0.005467 0.003612 0.014875 0.008336 0.999848
1649856229.342339 0.007832 -0.005471 0.005465 0.003632 0.014939 0.008239 0.999848
1649856229.392335 0.007308 -0.005394 0.006133 0.003631 0.014911 0.008312 0.999848
1649856229.442333 0.007233 -0.005327 0.005877 0.003637 0.014878 0.008185 0.999849
1649856229.467331 0.007821 -0.005392 0.006234 0.003570 0.014839 0.008273 0.999849
1649856229.492329 0.008378 -0.005499 0.006392 0.003502 0.014823 0.008302 0.999850
1649856229.542326 0.007679 -0.005079 0.006721 0.003598 0.014799 0.008204 0.999850
1649856229.592323 0.007261 -0.004720 0.007145 0.003567 0.014861 0.008242 0.999849
1649856229.642320 0.007300 -0.004286 0.007351 0.003487 0.014914 0.008212 0.999849
1649856229.692317 0.007225 -0.003847 0.007598 0.003476 0.014916 0.008300 0.999848
1649856229.742314 0.007674 -0.003506 0.007523 0.003527 0.014777 0.008161 0.999851
1649856229.792311 0.007874 -0.002990 0.007411 0.003508 0.014666 0.008282 0.999852
1649856229.817309 0.009106 -0.003330 0.007316 0.003459 0.014808 0.008278 0.999850
1649856229.842308 0.009805 -0.003406 0.007200 0.003471 0.014924 0.008378 0.999847
1649856229.892305 0.009741 -0.003092 0.007204 0.003552 0.014961 0.008442 0.999846
1649856229.942302 0.009520 -0.003421 0.007088 0.003449 0.014896 0.008289 0.999849
1649856229.992299 0.009324 -0.003708 0.007262 0.003499 0.014833 0.008365 0.999849
1649856230.042295 0.008627 -0.004147 0.007075 0.003471 0.014914 0.008371 0.999848
1649856230.092292 0.008225 -0.004298 0.007027 0.003465 0.014970 0.008432 0.999846
1649856230.142289 0.007756 -0.004088 0.006540 0.003429 0.014991 0.008244 0.999848
1649856230.192286 0.007523 -0.004141 0.006317 0.003447 0.014950 0.008287 0.999848
1649856230.242283 0.006902 -0.003878 0.006317 0.003457 0.014991 0.008187 0.999848
1649856230.292278 0.006462 -0.003571 0.006515 0.003444 0.014976 0.008266 0.999848
1649856230.342275 0.006007 -0.002954 0.006847 0.003446 0.015017 0.008118 0.999848
1649856230.392272 0.005965 -0.002414 0.007351 0.003468 0.014986 0.008162 0.999848
1649856230.442269 0.005685 -0.002104 0.007647 0.003507 0.014983 0.008124 0.999849
1649856230.492266 0.005552 -0.001734 0.007875 0.003508 0.014971 0.008255 0.999848
1649856230.517264 0.006758 -0.001249 0.007901 0.003507 0.015055 0.008164 0.999847
1649856230.542263 0.007502 -0.000620 0.007966 0.003529 0.015094 0.008219 0.999846
1649856230.592259 0.007691 0.000687 0.008459 0.003518 0.015045 0.008183 0.999847
1649856230.642256 0.007711 0.001055 0.009019 0.003320 0.015100 0.008296 0.999846
1649856230.692253 0.007923 0.001544 0.009666 0.003248 0.015130 0.008488 0.999844
1649856230.742250 0.007712 0.001669 0.010180 0.003303 0.014998 0.008524 0.999846
1649856230.792247 0.007968 0.001548 0.010505 0.003333 0.014905 0.008565 0.999847
1649856230.842244 0.007976 0.001444 0.010702 0.003255 0.014905 0.008548 0.999847
1649856230.892241 0.008421 0.000927 0.011502 0.003156 0.015019 0.008615 0.999845
1649856230.942238 0.008633 -0.000066 0.010955 0.003065 0.015008 0.008359 0.999848
1649856230.992235 0.009168 -0.000780 0.010506 0.003052 0.015077 0.008500 0.999846
1649856231.042232 0.009361 -0.001349 0.010061 0.003067 0.015132 0.008423 0.999845
1649856231.092228 0.009381 -0.001945 0.009774 0.003080 0.015163 0.008515 0.999844
1649856231.117227 0.010530 -0.002574 0.009342 0.003190 0.015103 0.008466 0.999845
1649856231.142225 0.011429 -0.003176 0.008910 0.003247 0.015065 0.008465 0.999845
1649856231.192222 0.011746 -0.003916 0.008666 0.003247 0.015047 0.008462 0.999846
1649856231.242219 0.011279 -0.003781 0.008628 0.003260 0.015003 0.008446 0.999846
1649856231.292216 0.010722 -0.003542 0.008605 0.003255 0.014991 0.008563 0.999846
1649856231.342213 0.010317 -0.002943 0.008386 0.003266 0.015060 0.008536 0.999845
1649856231.392210 0.010347 -0.002273 0.008392 0.003254 0.014967 0.008611 0.999846
1649856231.442207 0.010042 -0.001901 0.007985 0.003335 0.014963 0.008501 0.999846
1649856231.492203 0.009664 -0.001850 0.007826 0.003267 0.015032 0.008510 0.999845
1649856231.517202 0.009987 -0.002502 0.007705 0.003334 0.015171 0.008467 0.999843
1649856231.592197 0.008782 -0.002645 0.007410 0.003352 0.015251 0.008553 0.999841
1649856231.617196 0.009514 -0.002907 0.007488 0.003402 0.015180 0.008405 0.999844
1649856231.642194 0.009866 -0.002982 0.007534 0.003401 0.015163 0.008409 0.999844
1649856231.692191 0.009546 -0.002709 0.007626 0.003434 0.015029 0.008430 0.999846
1649856231.742188 0.009393 -0.001805 0.007772 0.003327 0.015134 0.008327 0.999845
1649856231.792185 0.009270 -0.000919 0.007937 0.003349 0.015058 0.008512 0.999845
1649856231.842182 0.008654 -0.000202 0.008236 0.003235 0.015114 0.008288 0.999846
1649856231.892179 0.008381 0.000258 0.008805 0.003256 0.014995 0.008345 0.999847
1649856231.942176 0.007552 0.000525 0.009574 0.003276 0.015184 0.008352 0.999844
1649856231.992172 0.007149 0.000698 0.010559 0.003187 0.015257 0.008496 0.999842
1649856232.042169 0.006991 0.000447 0.010234 0.003195 0.015263 0.008261 0.999844
1649856232.092166 0.006723 0.000252 0.010334 0.003233 0.015212 0.008346 0.999844
1649856232.142163 0.006452 0.000160 0.009966 0.003275 0.015092 0.008136 0.999848
1649856232.167162 0.007155 0.000029 0.009483 0.003376 0.014987 0.008212 0.999848
1649856232.192160 0.007693 0.000026 0.009276 0.003394 0.014936 0.008268 0.999849
1649856232.242157 0.007834 0.000857 0.009130 0.003425 0.014855 0.008218 0.999850
1649856232.292154 0.008585 0.001400 0.009288 0.003433 0.014665 0.008399 0.999851
1649856232.342151 0.009410 0.001505 0.008714 0.003466 0.014591 0.008331 0.999853
1649856232.392148 0.009832 0.001724 0.008559 0.003461 0.014595 0.008497 0.999851
1649856232.417146 0.010462 0.001179 0.008101 0.003438 0.014690 0.008438 0.999851
1649856232.442144 0.009317 -0.000486 0.008387 0.003345 0.014898 0.008320 0.999849
1649856232.492141 0.007314 -0.002030 0.008898 0.003224 0.015068 0.008371 0.999846
1649856232.542138 0.006573 -0.002873 0.008671 0.003263 0.015254 0.008274 0.999844
1649856232.592135 0.006705 -0.003677 0.008573 0.003264 0.015299 0.008376 0.999843
1649856232.642132 0.007059 -0.003898 0.007752 0.003300 0.015287 0.008273 0.999843
1649856232.692129 0.007078 -0.003189 0.006906 0.003256 0.015375 0.008488 0.999840
1649856232.742126 0.007474 -0.002578 0.005887 0.003516 0.015505 0.008281 0.999839
1649856232.792123 0.008002 -0.002173 0.006256 0.003516 0.015385 0.008339 0.999841
1649856232.842120 0.008657 -0.002541 0.006544 0.003537 0.015258 0.008201 0.999844
1649856232.867118 0.009706 -0.002831 0.006536 0.003474 0.015228 0.008312 0.999843
1649856232.892117 0.010534 -0.003154 0.006519 0.003461 0.015126 0.008417 0.999844
1649856232.917115 0.011106 -0.003134 0.006859 0.003466 0.015076 0.008364 0.999845
1649856232.942113 0.010521 -0.003644 0.007363 0.003381 0.015170 0.008156 0.999846
1649856233.017109 0.007964 -0.003734 0.008169 0.003285 0.015413 0.007718 0.999846
1649856233.067106 0.008688 -0.005853 0.005061 0.003798 0.014385 0.008252 0.999855
1649856233.117103 0.008191 -0.006115 0.004057 0.003891 0.013972 0.007924 0.999863
1649856233.142101 0.008610 -0.005568 0.003472 0.003906 0.013720 0.008034 0.999866
1649856233.192098 0.007551 -0.004754 0.003145 0.003775 0.014116 0.007865 0.999862
1649856233.242095 0.006834 -0.003084 0.003263 0.003784 0.014180 0.007534 0.999864
1649856233.292092 0.006804 -0.000996 0.004121 0.003792 0.014253 0.007505 0.999863
1649856233.342089 0.006962 0.001184 0.005195 0.003665 0.014311 0.007348 0.999864
1649856233.367087 0.007940 0.002304 0.006240 0.003583 0.014336 0.007458 0.999863
1649856233.392085 0.008779 0.003187 0.007220 0.003523 0.014502 0.007534 0.999860
1649856233.442082 0.008472 0.004597 0.008488 0.003402 0.014302 0.007363 0.999865
1649856233.467081 0.008526 0.004948 0.009408 0.003348 0.014204 0.007405 0.999866
1649856233.542076 0.007320 0.005305 0.010863 0.003263 0.014430 0.007285 0.999864
1649856233.592073 0.007028 0.005031 0.011742 0.003225 0.014656 0.007464 0.999860
1649856233.642070 0.006999 0.004759 0.011744 0.003224 0.014632 0.007515 0.999860
1649856233.667068 0.007735 0.003900 0.011303 0.003211 0.014633 0.007696 0.999858
1649856233.692067 0.008564 0.003257 0.010962 0.003302 0.014516 0.007848 0.999858
1649856233.742064 0.008609 0.003013 0.010504 0.003264 0.014523 0.007828 0.999859
1649856233.767062 0.009229 0.002822 0.009995 0.003221 0.014573 0.007965 0.999857
1649856233.792061 0.009642 0.002327 0.009859 0.003193 0.014533 0.007996 0.999857
1649856233.817059 0.009757 0.001317 0.009396 0.003115 0.014679 0.007977 0.999856
1649856233.842057 0.009051 -0.000664 0.009031 0.003038 0.014892 0.007938 0.999853
1649856233.892054 0.007588 -0.003186 0.008628 0.002970 0.015106 0.007805 0.999851
1649856233.942051 0.006913 -0.004708 0.008690 0.003053 0.015320 0.007803 0.999848
1649856233.992048 0.007113 -0.006136 0.008806 0.003048 0.015374 0.007966 0.999845
1649856234.017047 0.007954 -0.005988 0.008788 0.002975 0.015447 0.007928 0.999845
