# timestamp tx ty tz qx qy qz qw
1649856227.767436 0.006333 -0.031179 0.019300 0.022280 0.021291 -0.000176 0.999525
1649856227.842431 0.007778 -0.030886 0.017771 0.022428 0.021279 0.000750 0.999522
1649856227.867430 -0.018383 -0.020935 0.033089 0.021312 0.020500 -0.007124 0.999537
1649856227.892428 -0.007842 -0.019175 0.013398 0.012532 0.013821 -0.005360 0.999812
1649856227.917427 -0.002512 -0.018679 0.013346 0.014921 0.014242 -0.002778 0.999783
1649856227.942425 0.002093 -0.018252 0.013122 0.015923 0.016057 -0.001001 0.999744
1649856227.967423 0.003928 -0.017325 0.015749 0.016723 0.017220 0.000092 0.999712
1649856227.992422 0.003986 -0.017178 0.016878 0.016898 0.017506 0.000378 0.999704
1649856228.017420 0.003524 -0.021696 0.016628 0.016424 0.016942 -0.000481 0.999721
1649856228.042419 0.002305 -0.021255 0.016617 0.015913 0.016695 -0.000950 0.999734
1649856228.067417 0.000851 -0.020606 0.016642 0.015662 0.016583 -0.001370 0.999739
1649856228.092416 -0.000407 -0.019633 0.016583 0.015448 0.016430 -0.001631 0.999744
1649856228.117414 -0.001236 -0.018782 0.016449 0.015342 0.016294 -0.001635 0.999748
1649856228.142413 -0.002207 -0.017911 0.016386 0.015309 0.016289 -0.001608 0.999749
1649856228.192410 -0.004053 -0.016087 0.016404 0.015467 0.016429 -0.001708 0.999744
1649856228.217408 -0.003691 -0.019344 0.015851 0.015693 0.016241 -0.002079 0.999743
1649856228.242407 -0.004078 -0.018990 0.015640 0.015717 0.016141 -0.002002 0.999744
1649856228.267405 -0.004247 -0.019725 0.015609 0.015802 0.016183 -0.002501 0.999741
1649856228.292403 -0.004698 -0.019271 0.015495 0.015768 0.016152 -0.002441 0.999742
1649856228.317402 -0.004777 -0.020573 0.015408 0.015634 0.016340 -0.002585 0.999741
1649856228.342400 -0.005259 -0.020225 0.015351 0.015631 0.016317 -0.002339 0.999742
1649856228.367399 -0.005830 -0.019684 0.015365 0.015619 0.016324 -0.002122 0.999743
1649856228.392397 -0.006138 -0.018913 0.015446 0.015603 0.016278 -0.001907 0.999744
1649856228.417396 -0.006440 -0.017803 0.015580 0.015592 0.016340 -0.002293 0.999742
1649856228.442394 -0.006699 -0.016828 0.015617 0.015582 0.016278 -0.002312 0.999743
1649856228.467393 -0.006871 -0.015837 0.015826 0.015566 0.016288 -0.002308 0.999743
1649856228.492391 -0.007021 -0.014892 0.015922 0.015534 0.016203 -0.002361 0.999745
1649856228.517390 -0.006964 -0.017415 0.015862 0.015702 0.016019 -0.002677 0.999745
1649856228.542388 -0.007200 -0.016577 0.016039 0.015628 0.015978 -0.002554 0.999747
1649856228.567386 -0.007338 -0.015807 0.016380 0.015609 0.016027 -0.002333 0.999747
1649856228.592385 -0.007295 -0.014958 0.016659 0.015501 0.016089 -0.002219 0.999748
1649856228.617383 -0.006829 -0.016978 0.016595 0.015617 0.016013 -0.002626 0.999746
1649856228.642382 -0.006760 -0.016341 0.016818 0.015572 0.016023 -0.002564 0.999747
1649856228.667380 -0.006611 -0.015829 0.017042 0.015550 0.016051 -0.002376 0.999747
1649856228.692379 -0.006601 -0.015293 0.017182 0.015506 0.016047 -0.002285 0.999748
1649856228.717377 -0.006572 -0.017148 0.016702 0.015666 0.015913 -0.002544 0.999747
1649856228.742376 -0.006823 -0.016687 0.016828 0.015621 0.015927 -0.002460 0.999748
1649856228.767374 -0.007100 -0.016041 0.016948 0.015584 0.015917 -0.002377 0.999749
1649856228.792373 -0.007225 -0.015227 0.017091 0.015552 0.015939 -0.002316 0.999749
1649856228.817371 -0.007087 -0.014507 0.016659 0.015927 0.015689 -0.002557 0.999747
1649856228.842370 -0.007082 -0.014107 0.016590 0.015718 0.015730 -0.002570 0.999749
1649856228.867368 -0.006966 -0.013944 0.016532 0.015541 0.015830 -0.002537 0.999751
1649856228.892366 -0.006721 -0.013925 0.016419 0.015424 0.015868 -0.002539 0.999752
1649856228.917365 -0.006041 -0.014751 0.016349 0.015692 0.015984 -0.002325 0.999746
1649856228.942363 -0.005932 -0.014940 0.016157 0.015633 0.015968 -0.002368 0.999747
1649856228.967362 -0.005839 -0.015122 0.016028 0.015541 0.015945 -0.002398 0.999749
1649856228.992360 -0.005767 -0.015242 0.015888 0.015470 0.015921 -0.002433 0.999751
1649856229.017359 -0.005678 -0.017920 0.015530 0.015633 0.015910 -0.002579 0.999748
1649856229.042357 -0.005936 -0.017490 0.015614 0.015615 0.015964 -0.002483 0.999748
1649856229.067356 -0.006252 -0.016890 0.015759 0.015566 0.016024 -0.002374 0.999748
1649856229.092354 -0.006505 -0.016111 0.015932 0.015554 0.016004 -0.002273 0.999748
1649856229.117352 -0.006608 -0.015576 0.016244 0.015669 0.016184 -0.002322 0.999744
1649856229.142351 -0.006854 -0.015109 0.016371 0.015616 0.016129 -0.002362 0.999745
1649856229.167349 -0.007064 -0.014766 0.016585 0.015533 0.016085 -0.002409 0.999747
1649856229.192348 -0.007064 -0.014598 0.016721 0.015462 0.016041 -0.002454 0.999749
1649856229.217346 -0.007000 -0.014846 0.016818 0.015435 0.016010 -0.002509 0.999750
1649856229.242345 -0.007118 -0.014937 0.016965 0.015402 0.015995 -0.002487 0.999750
1649856229.267343 -0.007239 -0.015039 0.017048 0.015390 0.015997 -0.002455 0.999751
1649856229.292342 -0.007285 -0.015160 0.017079 0.015378 0.016008 -0.002421 0.999751
1649856229.317340 -0.007310 -0.015340 0.017026 0.015363 0.016028 -0.002431 0.999751
1649856229.342339 -0.007525 -0.015281 0.017006 0.015378 0.016015 -0.002383 0.999751
1649856229.367337 -0.007649 -0.015462 0.017187 0.015646 0.016201 -0.002198 0.999744
1649856229.392335 -0.007745 -0.015360 0.017158 0.015701 0.016112 -0.002192 0.999745
1649856229.417334 -0.007607 -0.015466 0.017000 0.015601 0.016118 -0.002387 0.999746
1649856229.442333 -0.007720 -0.015340 0.016909 0.015555 0.016137 -0.002429 0.999746
1649856229.467331 -0.007747 -0.015417 0.017042 0.015662 0.016223 -0.002372 0.999743
1649856229.492329 -0.007741 -0.015368 0.017033 0.015583 0.016236 -0.002464 0.999744
1649856229.517328 -0.007567 -0.015514 0.017190 0.015575 0.016312 -0.002388 0.999743
1649856229.542326 -0.007648 -0.015235 0.017279 0.015522 0.016267 -0.002377 0.999744
1649856229.567325 -0.007750 -0.014893 0.017347 0.015448 0.016238 -0.002400 0.999746
1649856229.592323 -0.007709 -0.014613 0.017379 0.015452 0.016189 -0.002416 0.999747
1649856229.617322 -0.007247 -0.017189 0.016629 0.015648 0.016058 -0.002679 0.999745
1649856229.642320 -0.007192 -0.016458 0.016817 0.015582 0.016088 -0.002534 0.999746
1649856229.667319 -0.007061 -0.015764 0.017124 0.015638 0.016201 -0.002285 0.999744
1649856229.692317 -0.007009 -0.014956 0.017367 0.015540 0.016258 -0.002194 0.999745
1649856229.717315 -0.006597 -0.016648 0.017317 0.015564 0.016060 -0.002581 0.999747
1649856229.742314 -0.006499 -0.015993 0.017475 0.015482 0.016022 -0.002528 0.999749
1649856229.767312 -0.006215 -0.015462 0.017706 0.015564 0.016078 -0.002290 0.999747
1649856229.792311 -0.006000 -0.014827 0.017812 0.015434 0.016084 -0.002211 0.999749
1649856229.817309 -0.005881 -0.016532 0.017722 0.015443 0.015965 -0.002519 0.999750
1649856229.842308 -0.006001 -0.015953 0.017924 0.015341 0.016044 -0.002404 0.999751
1649856229.867306 -0.006096 -0.015330 0.018099 0.015466 0.016208 -0.002246 0.999746
1649856229.892305 -0.006183 -0.014500 0.018135 0.015423 0.016276 -0.002158 0.999746
1649856229.917303 -0.006513 -0.016153 0.018055 0.015512 0.016017 -0.002502 0.999748
1649856229.942302 -0.007023 -0.015449 0.018074 0.015455 0.016000 -0.002471 0.999749
1649856229.967300 -0.007443 -0.014694 0.018100 0.015511 0.016176 -0.002239 0.999746
1649856229.992299 -0.007872 -0.013720 0.018020 0.015402 0.016301 -0.002079 0.999746
1649856230.017297 -0.007867 -0.013133 0.017748 0.015339 0.016492 -0.002345 0.999744
1649856230.042295 -0.007990 -0.012395 0.017360 0.015265 0.016508 -0.002327 0.999744
1649856230.067294 -0.008019 -0.011668 0.017032 0.015191 0.016550 -0.002311 0.999745
1649856230.092292 -0.007732 -0.010977 0.016969 0.015160 0.016539 -0.002251 0.999746
1649856230.117291 -0.008060 -0.011655 0.018393 0.015232 0.016376 -0.002300 0.999747
1649856230.142289 -0.008316 -0.010463 0.018635 0.015182 0.016362 -0.002316 0.999748
1649856230.167288 -0.008451 -0.009599 0.018975 0.015350 0.016473 -0.002093 0.999744
1649856230.192286 -0.008559 -0.008851 0.019131 0.015294 0.016475 -0.002155 0.999745
1649856230.217285 -0.008548 -0.011348 0.019635 0.015151 0.016331 -0.002610 0.999748
1649856230.242283 -0.008849 -0.010880 0.019917 0.015028 0.016389 -0.002606 0.999749
1649856230.267280 -0.009222 -0.010223 0.020176 0.014947 0.016379 -0.002624 0.999751
1649856230.292278 -0.009481 -0.009417 0.020467 0.014832 0.016413 -0.002624 0.999752
1649856230.317277 -0.009875 -0.010234 0.020677 0.014845 0.016423 -0.002999 0.999750
1649856230.342275 -0.010144 -0.009877 0.020901 0.014781 0.016445 -0.002830 0.999751
1649856230.367274 -0.010040 -0.010078 0.020955 0.015055 0.016377 -0.002084 0.999750
1649856230.392272 -0.009817 -0.009969 0.021037 0.015077 0.016344 -0.001965 0.999751
1649856230.417270 -0.009153 -0.010112 0.020948 0.015024 0.016449 -0.002355 0.999749
1649856230.442269 -0.008594 -0.010268 0.020671 0.014990 0.016444 -0.002415 0.999749
1649856230.467267 -0.007860 -0.010898 0.020327 0.015147 0.016420 -0.002147 0.999748
1649856230.492266 -0.007436 -0.011327 0.019831 0.015132 0.016405 -0.002228 0.999748
