# timestamp tx ty tz qx qy qz qw
1649856227.767436 0.004886 0.000904 0.002801 0.000353 0.003750 0.005710 0.999977
1649856227.817433 0.006921 0.002074 0.004940 0.000072 0.006449 0.009723 0.999932
1649856227.867430 0.023834 -0.010695 0.001883 0.003626 0.013728 0.009246 0.999856
1649856227.917427 0.015317 -0.006836 0.007099 0.003160 0.016315 0.008630 0.999825
1649856227.967423 0.013772 -0.006597 0.006456 0.003508 0.015399 0.009142 0.999833
1649856228.017420 0.016587 -0.007409 0.004880 0.003867 0.014414 0.009429 0.999844
1649856228.067417 0.013999 -0.006045 0.006123 0.003754 0.014569 0.009076 0.999846
1649856228.092416 0.013636 -0.005276 0.006809 0.003593 0.014880 0.008897 0.999843
1649856228.142413 0.013451 -0.005055 0.006817 0.003617 0.014910 0.008895 0.999843
1649856228.192410 0.013007 -0.004616 0.006722 0.003585 0.014982 0.008937 0.999841
1649856228.242407 0.012967 -0.004507 0.006291 0.003642 0.015010 0.008812 0.999842
1649856228.292403 0.012275 -0.004497 0.005966 0.003695 0.014940 0.008796 0.999843
1649856228.342400 0.011589 -0.004608 0.005629 0.003714 0.014894 0.008622 0.999845
1649856228.392397 0.010998 -0.004524 0.005738 0.003709 0.014843 0.008668 0.999845
1649856228.442394 0.010298 -0.004783 0.005460 0.003702 0.014818 0.008483 0.999847
1649856228.467393 0.010354 -0.005050 0.005474 0.003644 0.014789 0.008511 0.999848
1649856228.492391 0.010448 -0.005064 0.005440 0.003618 0.014749 0.008508 0.999848
1649856228.517390 0.010848 -0.005363 0.005320 0.003646 0.014796 0.008464 0.999848
1649856228.542388 0.010905 -0.005487 0.005327 0.003620 0.014861 0.008552 0.999846
1649856228.592385 0.009936 -0.005400 0.005513 0.003611 0.014839 0.008623 0.999846
1649856228.642382 0.009198 -0.005199 0.005571 0.003674 0.014793 0.008347 0.999849
1649856228.692379 0.008913 -0.005064 0.005610 0.003650 0.014747 0.008480 0.999849
1649856228.742376 0.008479 -0.005254 0.005691 0.003697 0.014718 0.008356 0.999850
1649856228.792373 0.008840 -0.005330 0.005625 0.003708 0.014722 0.008506 0.999849
1649856228.817371 0.010167 -0.005628 0.005232 0.003724 0.014687 0.008346 0.999850
1649856228.842370 0.010370 -0.005711 0.005308 0.003709 0.014670 0.008299 0.999851
1649856228.867368 0.010401 -0.005763 0.005560 0.003662 0.014669 0.008270 0.999851
1649856228.892366 0.010348 -0.005758 0.005774 0.003633 0.014692 0.008217 0.999852
1649856228.942363 0.009308 -0.005450 0.005995 0.003573 0.014766 0.008163 0.999851
1649856228.992360 0.008985 -0.005231 0.005902 0.003546 0.014776 0.008206 0.999851
1649856229.042357 0.008566 -0.005037 0.005894 0.003587 0.014873 0.008230 0.999849
1649856229.092354 0.009149 -0.004878 0.005683 0.003595 0.014816 0.008384 0.999849
1649856229.142351 0.009290 -0.005027 0.005447 0.003608 0.014797 0.008379 0.999849
1649856229.192348 0.008628 -0.004937 0.005810 0.003561 0.014820 0.008493 0.999848
1649856229.242345 0.008133 -0.005077 0.005907 0.003587 0.014789 0.008280 0.999850
1649856229.292342 0.007703 -0.005167 0.006140 0.003582 0.014813 0.008309 0.999849
1649856229.342339 0.007348 -0.005373 0.006093 0.003603 0.014872 0.008209 0.999849
1649856229.392335 0.006934 -0.005441 0.006510 0.003645 0.014814 0.008301 0.999849
1649856229.417334 0.007937 -0.005657 0.006185 0.003572 0.014849 0.008166 0.999850
1649856229.442333 0.008466 -0.005756 0.006084 0.003515 0.014896 0.008208 0.999849
1649856229.492329 0.008241 -0.005747 0.006181 0.003446 0.014828 0.008178 0.999851
1649856229.542326 0.007874 -0.005376 0.006625 0.003583 0.014804 0.008175 0.999851
1649856229.592323 0.007666 -0.005096 0.007234 0.003553 0.014857 0.008289 0.999849
1649856229.642320 0.007557 -0.004573 0.007549 0.003466 0.014922 0.008250 0.999849
1649856229.692317 0.007401 -0.003960 0.007984 0.003452 0.014903 0.008324 0.999848
1649856229.742314 0.007610 -0.003424 0.007726 0.003602 0.014703 0.008137 0.999852
1649856229.792311 0.007652 -0.002872 0.007448 0.003647 0.014532 0.008220 0.999854
1649856229.817309 0.008640 -0.003408 0.007367 0.003529 0.014638 0.008162 0.999853
1649856229.842308 0.009207 -0.003495 0.007346 0.003501 0.014735 0.008269 0.999851
1649856229.892305 0.008993 -0.003266 0.007318 0.003532 0.014800 0.008376 0.999849
1649856229.942302 0.008628 -0.003584 0.007217 0.003441 0.014776 0.008196 0.999851
1649856229.967300 0.008952 -0.003995 0.007447 0.003393 0.014804 0.008245 0.999851
1649856229.992299 0.009067 -0.004273 0.007548 0.003387 0.014785 0.008319 0.999850
1649856230.042295 0.008201 -0.004395 0.007533 0.003397 0.014755 0.008255 0.999851
1649856230.092292 0.007670 -0.004333 0.007362 0.003400 0.014835 0.008292 0.999850
1649856230.117291 0.008035 -0.004384 0.006942 0.003371 0.014921 0.008173 0.999850
1649856230.142289 0.008157 -0.004511 0.006600 0.003417 0.014943 0.008166 0.999849
1649856230.167288 0.008207 -0.004693 0.006354 0.003449 0.014993 0.008184 0.999848
1649856230.192286 0.008249 -0.004916 0.006256 0.003480 0.014939 0.008192 0.999849
1649856230.242283 0.007063 -0.004639 0.006351 0.003473 0.014967 0.008143 0.999849
1649856230.292278 0.006485 -0.004157 0.006652 0.003455 0.014969 0.008231 0.999848
1649856230.342275 0.005981 -0.003255 0.007242 0.003394 0.014959 0.008104 0.999850
1649856230.392272 0.005968 -0.002408 0.007930 0.003388 0.014922 0.008192 0.999849
1649856230.417270 0.006733 -0.002250 0.008306 0.003355 0.014889 0.008136 0.999850
1649856230.442269 0.007137 -0.002076 0.008603 0.003331 0.014855 0.008207 0.999850
1649856230.492266 0.006624 -0.001504 0.008986 0.003284 0.014846 0.008204 0.999851
1649856230.517264 0.007289 -0.000772 0.009121 0.003321 0.014907 0.008129 0.999850
1649856230.542263 0.007728 -0.000128 0.009221 0.003387 0.014929 0.008182 0.999849
1649856230.592259 0.007593 0.001208 0.009632 0.003364 0.014996 0.008198 0.999848
1649856230.642256 0.007539 0.001849 0.009878 0.003180 0.015079 0.008260 0.999847
1649856230.667255 0.008423 0.001810 0.010037 0.003097 0.015144 0.008396 0.999845
1649856230.742250 0.007425 0.002190 0.010651 0.003213 0.014945 0.008467 0.999847
1649856230.792247 0.007566 0.002132 0.011036 0.003266 0.014790 0.008510 0.999849
1649856230.842244 0.007506 0.002105 0.011078 0.003192 0.014829 0.008563 0.999848
1649856230.867242 0.008116 0.002017 0.011149 0.003135 0.014864 0.008664 0.999847
1649856230.892241 0.008719 0.001580 0.011115 0.003068 0.014910 0.008697 0.999846
1649856230.942238 0.008425 0.000497 0.010874 0.003013 0.014992 0.008396 0.999848
1649856230.992235 0.008664 -0.000284 0.010803 0.003037 0.014959 0.008407 0.999848
1649856231.017233 0.009521 -0.001200 0.010671 0.003049 0.015019 0.008367 0.999848
1649856231.042232 0.010088 -0.002068 0.010451 0.003039 0.015057 0.008371 0.999847
1649856231.092228 0.009952 -0.003097 0.009968 0.003051 0.015096 0.008450 0.999846
1649856231.117227 0.010704 -0.003413 0.009413 0.003150 0.015027 0.008421 0.999847
1649856231.142225 0.011413 -0.003781 0.008788 0.003239 0.014960 0.008455 0.999847
1649856231.192222 0.011652 -0.004274 0.008244 0.003279 0.014893 0.008495 0.999848
1649856231.242219 0.011463 -0.003582 0.008004 0.003346 0.014898 0.008473 0.999848
1649856231.292216 0.011321 -0.002510 0.008110 0.003398 0.014786 0.008605 0.999848
1649856231.342213 0.010675 -0.001810 0.008026 0.003390 0.014764 0.008606 0.999848
1649856231.392210 0.010710 -0.000987 0.008121 0.003322 0.014688 0.008618 0.999849
1649856231.442207 0.010289 -0.000760 0.007914 0.003395 0.014687 0.008485 0.999850
1649856231.492203 0.010127 -0.000452 0.008080 0.003421 0.014670 0.008492 0.999850
1649856231.542201 0.009360 -0.000831 0.008244 0.003408 0.014724 0.008457 0.999850
1649856231.592197 0.009371 -0.000709 0.008539 0.003397 0.014657 0.008526 0.999850
1649856231.642194 0.009104 -0.000989 0.008385 0.003394 0.014662 0.008377 0.999852
1649856231.692191 0.008990 -0.000831 0.008467 0.003395 0.014574 0.008461 0.999852
1649856231.742188 0.009082 -0.000334 0.008607 0.003290 0.014727 0.008313 0.999852
1649856231.767186 0.009956 -0.000151 0.008620 0.003345 0.014689 0.008463 0.999851
1649856231.792185 0.010572 -0.000262 0.008489 0.003346 0.014746 0.008555 0.999849
1649856231.842182 0.009762 0.000010 0.008714 0.003275 0.014838 0.008343 0.999850
1649856231.892179 0.009195 -0.000034 0.009118 0.003291 0.014799 0.008346 0.999850
1649856231.942176 0.008543 -0.000254 0.009352 0.003261 0.015044 0.008338 0.999847
1649856231.992172 0.008061 -0.000146 0.009975 0.003242 0.015115 0.008481 0.999845
1649856232.042169 0.007796 -0.000209 0.010028 0.003202 0.015042 0.008249 0.999848
1649856232.092166 0.007541 -0.000371 0.009962 0.003264 0.014990 0.008336 0.999848
1649856232.142163 0.007075 -0.000370 0.009483 0.003353 0.014920 0.008156 0.999850
1649856232.192160 0.006970 0.000022 0.009184 0.003421 0.014844 0.008263 0.999850
1649856232.242157 0.007575 0.000591 0.008439 0.003440 0.014789 0.008231 0.999851
1649856232.267155 0.008812 0.000845 0.008010 0.003477 0.014696 0.008374 0.999851
1649856232.292154 0.009869 0.001099 0.007873 0.003518 0.014550 0.008480 0.999852
1649856232.342151 0.009741 0.001071 0.007677 0.003481 0.014482 0.008420 0.999854
1649856232.367149 0.010083 0.000811 0.007712 0.003430 0.014513 0.008495 0.999853
1649856232.417146 0.009951 0.000540 0.007874 0.003379 0.014615 0.008370 0.999852
1649856232.442144 0.008808 -0.000903 0.008370 0.003288 0.014754 0.008288 0.999851
1649856232.492141 0.006901 -0.002199 0.008943 0.003200 0.014922 0.008356 0.999849
1649856232.542138 0.006151 -0.002844 0.008853 0.003223 0.015156 0.008278 0.999846
1649856232.592135 0.006443 -0.003420 0.008820 0.003259 0.015222 0.008381 0.999844
1649856232.642132 0.006850 -0.003355 0.008168 0.003313 0.015178 0.008277 0.999845
1649856232.692129 0.007491 -0.003179 0.007933 0.003285 0.015174 0.008423 0.999844
1649856232.742126 0.008277 -0.002763 0.007613 0.003310 0.015197 0.008315 0.999844
1649856232.792123 0.008585 -0.002340 0.007791 0.003310 0.015150 0.008408 0.999844
1649856232.817121 0.009711 -0.002649 0.007658 0.003348 0.015125 0.008252 0.999846
1649856232.842120 0.009888 -0.003224 0.007588 0.003321 0.015141 0.008132 0.999847
1649856232.892117 0.008850 -0.003723 0.007641 0.003329 0.015098 0.008007 0.999848
1649856232.942113 0.008151 -0.003140 0.007980 0.003315 0.015034 0.008016 0.999849
1649856232.992110 0.008160 -0.002860 0.008277 0.003273 0.014955 0.008144 0.999850
1649856233.017109 0.009024 -0.002257 0.008143 0.003255 0.015051 0.007982 0.999850
1649856233.042107 0.008858 -0.002375 0.008152 0.003221 0.015145 0.007942 0.999849
1649856233.067106 0.008401 -0.002541 0.008210 0.003162 0.015267 0.007878 0.999847
1649856233.092104 0.007792 -0.002807 0.008261 0.003149 0.015311 0.007821 0.999847
1649856233.142101 0.006909 -0.002429 0.008258 0.003169 0.015329 0.007688 0.999848
1649856233.192098 0.006864 -0.001756 0.008356 0.003200 0.015314 0.007859 0.999847
1649856233.242095 0.006970 -0.000378 0.008076 0.003156 0.015240 0.007519 0.999851
1649856233.292092 0.007316 0.000689 0.008289 0.003244 0.015101 0.007626 0.999852
1649856233.342089 0.007417 0.001666 0.008307 0.003255 0.014896 0.007563 0.999855
1649856233.392085 0.007586 0.002791 0.008463 0.003235 0.014695 0.007709 0.999857
1649856233.442082 0.007438 0.003711 0.008709 0.003292 0.014478 0.007494 0.999862
1649856233.492079 0.007545 0.004240 0.009092 0.003242 0.014448 0.007418 0.999863
1649856233.542076 0.007106 0.003892 0.009130 0.003135 0.014676 0.007434 0.999860
1649856233.592073 0.007019 0.003664 0.009512 0.003120 0.014740 0.007551 0.999858
1649856233.642070 0.006806 0.003639 0.009468 0.003114 0.014602 0.007614 0.999860
1649856233.692067 0.007256 0.003432 0.008972 0.003121 0.014272 0.007855 0.999862
1649856233.742064 0.007598 0.003666 0.008624 0.003222 0.014239 0.007837 0.999863
1649856233.792061 0.007467 0.003356 0.008658 0.003197 0.014297 0.007959 0.999861
1649856233.817059 0.008180 0.001805 0.008164 0.003199 0.014556 0.007900 0.999858
