# time(s), cam_used[0], cam_used[1], cam_used[2], cam_used[3], cam_rows[0], cam_rows[1], cam_rows[2], cam_rows[3], cam_sol[0][0], cam_sol[0][1], cam_sol[0][2], cam_sol[0][3], cam_sol[0][4], cam_sol[0][5], cam_sol[0][6], cam_sol[1][0], cam_sol[1][1], cam_sol[1][2], cam_sol[1][3], cam_sol[1][4], cam_sol[1][5], cam_sol[1][6], cam_sol[2][0], cam_sol[2][1], cam_sol[2][2], cam_sol[2][3], cam_sol[2][4], cam_sol[2][5], cam_sol[2][6], cam_sol[3][0], cam_sol[3][1], cam_sol[3][2], cam_sol[3][3], cam_sol[3][4], cam_sol[3][5], cam_sol[3][6], cam_rot_std[0], cam_trans_std[0], cam_rot_std[1], cam_trans_std[1], cam_rot_std[2], cam_trans_std[2], cam_rot_std[3], cam_trans_std[3], total_rot_std, total_trans_std, level0_avg_total_rows, rot_max_eig_post, trans_max_eig_post, cam_patch_count[0], cam_patch_count[1], cam_patch_count[2], cam_patch_count[3]
1649856227.792434454, 1, 0, 1, 1, 0, 0, 0, 0, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000000000, 0.000000000, 0.000000000, 0.002165136, 0.001740360, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1649856227.842431307, 0, 1, 0, 1, 0, 0, 0, 0, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000000000, 0.000000000, 0.000000000, 0.000857616, 0.000708427, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1649856227.892428160, 1, 0, 0, 1, 0, 0, 0, 0, -0.000117459, 0.000213191, 0.000092717, 0.000146972, -0.000088968, -0.000325060, -0.001045285, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000009584, 0.000010792, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000009584, 0.000010792, 1.000000000, 0.000150973, 0.000100869, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1649856227.942425013, 0, 0, 1, 1, 0, 0, 0, 0, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000409, 0.000000036, -0.000000034, 0.000000553, -0.000000559, 0.000000145, -0.000042466, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.0, 0.0, 0.0, 0.0, 0.000000127, 0.000000227, 0.0, 0.0, 0.000000127, 0.000000227, 1.000000000, 0.000032578, 0.000036302, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1649856227.992421865, 1, 0, 0, 1, 0, 0, 0, 0, -0.000006846, -0.000035384, -0.000005100, -0.000023905, 0.000016988, 0.000057045, 0.001637434, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000958, 0.000001604, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000000958, 0.000001604, 4.000000000, 0.000013208, 0.000019683, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1649856228.042418957, 0, 0, 1, 1, 0, 0, 0, 0, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000033016, 0.000055920, 0.000008578, 0.000201307, -0.000054670, 0.000072043, -0.000918462, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.0, 0.0, 0.0, 0.0, 0.000001519, 0.000004741, 0.0, 0.0, 0.000001519, 0.000004741, 4.000000000, 0.000008855, 0.000015524, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1649856228.092415810, 0, 0, 1, 1, 0, 0, 0, 0, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000021811, 0.000032396, -0.000001379, 0.000088760, -0.000025211, 0.000061340, -0.001284125, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.0, 0.0, 0.0, 0.0, 0.000000879, 0.000002393, 0.0, 0.0, 0.000000879, 0.000002393, 5.000000000, 0.000006516, 0.000012125, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1649856228.142412663, 0, 1, 0, 1, 0, 0, 0, 0, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000021811, 0.000032396, -0.000001379, 0.000088760, -0.000025211, 0.000061340, -0.001284125, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.0, 0.0, 0.000000879, 0.000002393, 0.0, 0.0, 0.0, 0.0, 0.000000879, 0.000002393, 0.000000000, 0.000004930, 0.000009564, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1649856228.192409515, 0, 1, 0, 1, 0, 0, 0, 0, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000021811, 0.000032396, -0.000001379, 0.000088760, -0.000025211, 0.000061340, -0.001284125, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.0, 0.0, 0.000000879, 0.000002393, 0.0, 0.0, 0.0, 0.0, 0.000000879, 0.000002393, 0.000000000, 0.000004121, 0.000008325, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1649856228.242406607, 0, 1, 0, 1, 0, 0, 0, 0, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000021811, 0.000032396, -0.000001379, 0.000088760, -0.000025211, 0.000061340, -0.001284125, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.0, 0.0, 0.000000879, 0.000002393, 0.0, 0.0, 0.0, 0.0, 0.000000879, 0.000002393, 0.000000000, 0.000003766, 0.000007518, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1649856228.292403460, 1, 0, 0, 1, 0, 0, 0, 0, -0.000020134, -0.000032592, -0.000006418, -0.000029319, -0.000002845, 0.000101818, 0.004615346, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000362, 0.000000975, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000000362, 0.000000975, 6.000000000, 0.000003447, 0.000006718, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1649856228.317401886, 0, 0, 0, 1, 0, 0, 0, 0, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, -0.000020134, -0.000032592, -0.000006418, -0.000029319, -0.000002845, 0.000101818, 0.004615346, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000000362, 0.000000975, 0.000000362, 0.000000975, 0.000000000, 0.000002944, 0.000005323, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1649856228.342400312, 0, 0, 0, 1, 0, 0, 0, 0, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, -0.000020134, -0.000032592, -0.000006418, -0.000029319, -0.000002845, 0.000101818, 0.004615346, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000000362, 0.000000975, 0.000000362, 0.000000975, 0.000000000, 0.000002643, 0.000004574, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1649856228.367398739, 0, 0, 0, 1, 0, 0, 0, 0, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, -0.000020134, -0.000032592, -0.000006418, -0.000029319, -0.000002845, 0.000101818, 0.004615346, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000000362, 0.000000975, 0.000000362, 0.000000975, 0.000000000, 0.000002419, 0.000004037, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1649856228.442394257, 0, 1, 0, 1, 0, 0, 0, 0, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, -0.000020134, -0.000032592, -0.000006418, -0.000029319, -0.000002845, 0.000101818, 0.004615346, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.0, 0.0, 0.000000362, 0.000000975, 0.0, 0.0, 0.0, 0.0, 0.000000362, 0.000000975, 0.000000000, 0.000003008, 0.000005158, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1649856228.492391109, 1, 0, 0, 1, 0, 0, 0, 0, -0.000000716, -0.000012836, 0.000000068, -0.000006074, -0.000000854, 0.000010585, 0.000921587, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000237, 0.000000332, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000000237, 0.000000332, 6.000000000, 0.000002955, 0.000005058, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1649856228.542388201, 0, 1, 0, 1, 0, 0, 0, 0, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, -0.000000716, -0.000012836, 0.000000068, -0.000006074, -0.000000854, 0.000010585, 0.000921587, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.0, 0.0, 0.000000237, 0.000000332, 0.0, 0.0, 0.0, 0.0, 0.000000237, 0.000000332, 0.000000000, 0.000002878, 0.000004948, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1649856228.592384815, 0, 0, 1, 1, 0, 0, 0, 0, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, -0.000009065, -0.000014678, -0.000009130, 0.000111631, -0.000007690, -0.000083673, -0.000850098, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.0, 0.0, 0.0, 0.0, 0.000000406, 0.000002511, 0.0, 0.0, 0.000000406, 0.000002511, 5.000000000, 0.000002756, 0.000004931, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1649856228.642381907, 0, 0, 1, 1, 0, 0, 0, 0, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, -0.000007469, -0.000010693, -0.000008810, 0.000084395, -0.000006445, -0.000063195, -0.000737768, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.0, 0.0, 0.0, 0.0, 0.000000316, 0.000001779, 0.0, 0.0, 0.000000316, 0.000001779, 6.000000000, 0.000002745, 0.000004862, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1649856228.692378759, 1, 0, 0, 1, 0, 0, 0, 0, -0.000003581, -0.000024915, -0.000001362, -0.000013051, -0.000002341, 0.000033411, 0.001588586, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000326, 0.000000570, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000000326, 0.000000570, 6.000000000, 0.000002651, 0.000004625, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1649856228.742375612, 0, 0, 1, 1, 0, 0, 0, 0, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, -0.000011749, -0.000017724, -0.000014460, 0.000155983, -0.000013442, -0.000116040, -0.000875717, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.0, 0.0, 0.0, 0.0, 0.000000454, 0.000003094, 0.0, 0.0, 0.000000454, 0.000003094, 8.000000000, 0.000002623, 0.000004539, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1649856228.792372704, 0, 0, 1, 1, 0, 0, 0, 0, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, -0.000000031, 0.000000261, 0.000000099, -0.000000023, 0.000000265, 0.000000168, -0.000021209, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.0, 0.0, 0.0, 0.0, 0.000000020, 0.000000051, 0.0, 0.0, 0.000000020, 0.000000051, 6.000000000, 0.000002548, 0.000004658, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1649856228.842369556, 1, 0, 0, 1, 0, 0, 0, 0, 0.000000974, -0.000006217, -0.000000192, -0.000003519, -0.000001349, 0.000000606, 0.000811594, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000236, 0.000000365, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000000236, 0.000000365, 6.000000000, 0.000002488, 0.000004525, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1649856228.892366409, 0, 0, 1, 1, 0, 0, 0, 0, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, -0.000000083, 0.000000385, 0.000000080, 0.000002014, 0.000000196, -0.000000652, 0.000003889, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.0, 0.0, 0.0, 0.0, 0.000000024, 0.000000131, 0.0, 0.0, 0.000000024, 0.000000131, 6.000000000, 0.000002419, 0.000004582, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1649856228.942363262, 0, 1, 0, 1, 0, 0, 0, 0, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, -0.000000083, 0.000000385, 0.000000080, 0.000002014, 0.000000196, -0.000000652, 0.000003889, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.0, 0.0, 0.000000024, 0.000000131, 0.0, 0.0, 0.0, 0.0, 0.000000024, 0.000000131, 0.000000000, 0.000002442, 0.000004553, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1649856229.017358541, 1, 0, 1, 1, 0, 0, 0, 0, -0.000002842, -0.000010946, 0.000001959, -0.000013516, 0.000014345, 0.000020388, 0.002197165, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000004094, -0.000004333, -0.000001918, 0.000021691, -0.000007575, 0.000024928, -0.000495027, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000121, 0.000000265, 0.0, 0.0, 0.000000205, 0.000000956, 0.0, 0.0, 0.000000150, 0.000000629, 11.000000000, 0.000002717, 0.000005037, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1649856229.067355633, 0, 0, 1, 1, 0, 0, 0, 0, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, -0.000000062, 0.000000718, -0.000000053, 0.000004575, -0.000000295, -0.000002091, -0.000057326, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.0, 0.0, 0.0, 0.0, 0.000000041, 0.000000264, 0.0, 0.0, 0.000000041, 0.000000264, 4.000000000, 0.000002531, 0.000004886, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1649856229.142350912, 0, 1, 1, 1, 0, 0, 0, 0, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, -0.000000090, 0.000001517, -0.000000126, 0.000009356, -0.000000853, -0.000004646, -0.000061095, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.0, 0.0, 0.000000068, 0.000000421, 0.0, 0.0, 0.0, 0.0, 0.000000068, 0.000000421, 4.000000000, 0.000002756, 0.000005459, 0.000000000, 0.000000000, 0.000000000, 0.000000000
1649856229.192348003, 0, 0, 1, 1, 0, 0, 0, 0, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000012, 0.000000130, -0.000000053, 0.000000092, -0.000000251, 0.000000352, -0.000043659, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000, 0.0, 0.0, 0.0, 0.0, 0.000000021, 0.000000068, 0.0, 0.0, 0.000000021, 0.000000068, 4.000000000, 0.000002520, 0.000005101, 0.000000000, 0.000000000, 0.000000000, 0.000000000
