# time(s), pre_rot_eig1, pre_rot_eig2, pre_rot_eig3, pre_trans_eig1, pre_trans_eig2, pre_trans_eig3, post_rot_eig1, post_rot_eig2, post_rot_eig3, post_trans_eig1, post_trans_eig2, post_trans_eig3, cam_used[0], cam_used[1], level0_avg_total_rows
1618223071.442012787, 0.000001265, 0.000001723, 0.000003896, 0.000005263, 0.000018996, 0.000024595, 0.000001265, 0.000001723, 0.000003896, 0.000005263, 0.000018996, 0.000024595, 1, 1, 0.000000000
1618223071.475345850, 0.000002515, 0.000003170, 0.000005070, 0.000021241, 0.000025858, 0.000033273, 0.000002515, 0.000003170, 0.000005070, 0.000021241, 0.000025858, 0.000033273, 1, 1, 0.000000000
1618223071.508678675, 0.000001594, 0.000002393, 0.000003798, 0.000016325, 0.000022069, 0.000041028, 0.000000376, 0.000000986, 0.000003519, 0.000007290, 0.000015076, 0.000029050, 1, 1, 5.000000000
1618223071.542011499, 0.000000819, 0.000000958, 0.000001071, 0.000004013, 0.000009911, 0.000015566, 0.000000246, 0.000000292, 0.000000594, 0.000003061, 0.000007310, 0.000008370, 1, 1, 33.000000000
1618223071.608677387, 0.000000055, 0.000000060, 0.000000196, 0.000000582, 0.000001307, 0.000001370, 0.000000026, 0.000000048, 0.000000091, 0.000000537, 0.000000668, 0.000000714, 1, 1, 43.000000000
1618223071.642010450, 0.000000252, 0.000000327, 0.000000427, 0.000000924, 0.000001374, 0.000001437, 0.000000126, 0.000000163, 0.000000292, 0.000000901, 0.000001271, 0.000001340, 1, 1, 56.000000000
1618223071.675343275, 0.000000137, 0.000000184, 0.000000339, 0.000001018, 0.000001474, 0.000001838, 0.000000019, 0.000000100, 0.000000222, 0.000000401, 0.000000899, 0.000001065, 1, 1, 48.000000000
1618223071.708676100, 0.000000050, 0.000000067, 0.000000152, 0.000000413, 0.000000713, 0.000001143, 0.000000011, 0.000000046, 0.000000128, 0.000000179, 0.000000417, 0.000001032, 1, 1, 45.000000000
1618223071.742008924, 0.000000100, 0.000000197, 0.000000228, 0.000000493, 0.000000710, 0.000001365, 0.000000065, 0.000000113, 0.000000214, 0.000000473, 0.000000700, 0.000001349, 1, 1, 42.000000000
1618223071.808674812, 0.000000025, 0.000000027, 0.000000078, 0.000000279, 0.000000513, 0.000000563, 0.000000023, 0.000000025, 0.000000076, 0.000000276, 0.000000506, 0.000000520, 1, 1, 32.000000000
1618223071.842007637, 0.000000043, 0.000000123, 0.000000128, 0.000000475, 0.000000729, 0.000000850, 0.000000042, 0.000000104, 0.000000124, 0.000000471, 0.000000726, 0.000000831, 1, 1, 36.000000000
1618223071.875340700, 0.000000072, 0.000000099, 0.000000162, 0.000000603, 0.000000858, 0.000001012, 0.000000069, 0.000000093, 0.000000151, 0.000000575, 0.000000840, 0.000000951, 1, 1, 26.000000000
1618223071.908673525, 0.000000039, 0.000000047, 0.000000114, 0.000000354, 0.000000672, 0.000000917, 0.000000038, 0.000000046, 0.000000113, 0.000000353, 0.000000642, 0.000000911, 1, 1, 29.000000000
1618223071.942006588, 0.000000033, 0.000000102, 0.000000124, 0.000000549, 0.000000958, 0.000000973, 0.000000033, 0.000000098, 0.000000111, 0.000000547, 0.000000866, 0.000000954, 1, 0, 17.000000000
1618223072.008672237, 0.000000020, 0.000000024, 0.000000058, 0.000000250, 0.000000377, 0.000000522, 0.000000020, 0.000000024, 0.000000058, 0.000000250, 0.000000377, 0.000000522, 1, 1, 30.000000000
1618223072.042005062, 0.000000024, 0.000000087, 0.000000107, 0.000000427, 0.000000575, 0.000000790, 0.000000024, 0.000000087, 0.000000104, 0.000000426, 0.000000575, 0.000000786, 1, 1, 39.000000000
1618223072.075338125, 0.000000072, 0.000000082, 0.000000126, 0.000000549, 0.000000791, 0.000000879, 0.000000063, 0.000000082, 0.000000126, 0.000000543, 0.000000716, 0.000000871, 1, 1, 40.000000000
1618223072.108670950, 0.000000038, 0.000000043, 0.000000110, 0.000000352, 0.000000627, 0.000000882, 0.000000038, 0.000000043, 0.000000110, 0.000000352, 0.000000627, 0.000000881, 1, 1, 33.000000000
1618223072.142003775, 0.000000027, 0.000000094, 0.000000095, 0.000000528, 0.000000918, 0.000000930, 0.000000027, 0.000000093, 0.000000094, 0.000000527, 0.000000917, 0.000000929, 1, 1, 43.000000000
1618223072.208669662, 0.000000017, 0.000000022, 0.000000052, 0.000000240, 0.000000329, 0.000000477, 0.000000017, 0.000000022, 0.000000052, 0.000000240, 0.000000329, 0.000000477, 1, 1, 41.000000000
1618223072.242002726, 0.000000024, 0.000000075, 0.000000080, 0.000000402, 0.000000529, 0.000000727, 0.000000024, 0.000000074, 0.000000079, 0.000000402, 0.000000528, 0.000000723, 1, 1, 50.000000000
1618223072.275335550, 0.000000069, 0.000000077, 0.000000109, 0.000000513, 0.000000731, 0.000000826, 0.000000068, 0.000000077, 0.000000109, 0.000000509, 0.000000728, 0.000000824, 1, 1, 51.000000000
1618223072.308668375, 0.000000037, 0.000000040, 0.000000104, 0.000000338, 0.000000604, 0.000000838, 0.000000037, 0.000000040, 0.000000104, 0.000000338, 0.000000603, 0.000000838, 1, 1, 46.000000000
1618223072.342001438, 0.000000042, 0.000000079, 0.000000088, 0.000000494, 0.000000895, 0.000000960, 0.000000042, 0.000000079, 0.000000088, 0.000000494, 0.000000894, 0.000000957, 1, 1, 45.000000000
1618223072.408667088, 0.000000019, 0.000000021, 0.000000048, 0.000000226, 0.000000314, 0.000000442, 0.000000019, 0.000000021, 0.000000048, 0.000000226, 0.000000314, 0.000000442, 1, 1, 43.000000000
1618223072.442000151, 0.000000037, 0.000000068, 0.000000073, 0.000000378, 0.000000525, 0.000000691, 0.000000037, 0.000000066, 0.000000073, 0.000000378, 0.000000525, 0.000000681, 1, 1, 47.000000000
1618223072.475332975, 0.000000063, 0.000000077, 0.000000112, 0.000000484, 0.000000692, 0.000000842, 0.000000063, 0.000000077, 0.000000112, 0.000000484, 0.000000692, 0.000000841, 1, 1, 47.000000000
1618223072.508665800, 0.000000035, 0.000000042, 0.000000104, 0.000000329, 0.000000575, 0.000000838, 0.000000035, 0.000000042, 0.000000104, 0.000000329, 0.000000574, 0.000000838, 1, 1, 53.000000000
