# timestamp tx ty tz qx qy qz qw
1618222294.361561 0.000322 0.000464 -0.000264 -0.000009 0.000202 0.000055 1.000000
1618222294.461545 0.000909 0.000585 -0.001293 0.000455 0.000768 0.001514 0.999998
1618222294.561593 -0.000191 -0.000775 -0.000742 -0.000693 0.000238 0.001312 0.999999
1618222294.661557 0.003130 -0.002920 0.001373 -0.003876 -0.001009 -0.001710 0.999991
1618222294.761539 0.009577 -0.001865 0.003895 -0.006915 -0.001463 -0.003916 0.999967
1618222294.861459 0.024727 -0.003356 0.004947 -0.008767 -0.000100 -0.008894 0.999922
1618222294.960901 0.070882 -0.009194 -0.000993 -0.009897 0.003781 -0.014698 0.999836
1618222295.060656 0.118566 -0.016066 -0.011250 -0.010772 0.007492 0.003706 0.999907
1618222295.160797 0.146808 -0.030961 -0.019143 -0.010458 0.014030 0.019659 0.999654
1618222295.261080 0.166153 -0.059864 -0.016119 -0.008225 0.010381 0.023776 0.999630
1618222295.361146 0.220366 -0.079774 -0.007178 -0.008510 0.004412 0.030019 0.999503
1618222295.461591 0.281568 -0.081313 -0.005327 -0.005997 -0.004045 0.040349 0.999159
1618222295.561836 0.364213 -0.067879 -0.017869 -0.003729 0.001721 0.035647 0.999356
1618222295.662107 0.455729 -0.048018 -0.020895 0.005493 -0.006485 0.036004 0.999316
1618222295.762376 0.545884 -0.042200 -0.007937 0.013065 -0.009175 0.033336 0.999317
1618222295.862000 0.665625 -0.038277 0.025943 0.014106 -0.008839 0.020024 0.999661
1618222295.962124 0.775237 -0.039781 0.045523 0.012294 0.001415 0.028674 0.999512
1618222296.061479 0.901041 -0.040345 0.030432 0.007229 0.007535 0.004166 0.999937
1618222296.161105 1.025174 -0.032961 -0.012094 0.000281 0.011801 0.008763 0.999892
1618222296.260427 1.171829 -0.027318 -0.032673 -0.008288 0.006863 0.000427 0.999942
1618222296.360202 1.303962 -0.019986 -0.011252 -0.010169 0.006202 0.016288 0.999796
1618222296.459943 1.437235 -0.010738 0.035048 -0.006342 0.019884 0.016278 0.999650
1618222296.559936 1.557406 -0.009228 0.065575 0.001947 0.026262 0.024278 0.999358
1618222296.660658 1.685830 -0.016018 0.034934 0.004559 0.017167 0.045667 0.998799
1618222296.761008 1.831201 -0.017934 -0.022508 -0.006376 0.013541 0.043782 0.998929
1618222296.861451 1.981811 -0.004370 -0.033850 -0.012348 0.015116 0.050439 0.998536
1618222296.960951 2.146896 0.032892 0.016641 -0.011958 0.020710 0.032632 0.999181
1618222297.061137 2.291382 0.052021 0.086301 -0.012059 0.039818 0.046938 0.998031
1618222297.160584 2.441725 0.065172 0.109471 -0.013948 0.037570 0.030771 0.998723
1618222297.259958 2.588802 0.043322 0.059320 -0.016283 0.033642 0.022501 0.999048
1618222297.359460 2.716920 0.006423 0.012700 -0.012751 0.021672 0.020067 0.999482
1618222297.459672 2.835560 -0.032812 0.035033 -0.011233 0.022241 0.034830 0.999083
1618222297.559627 2.965964 -0.056334 0.102415 -0.012006 0.030856 0.038910 0.998694
1618222297.659759 3.104783 -0.054926 0.147954 -0.009409 0.038635 0.042483 0.998306
1618222297.760299 3.240417 -0.021606 0.166487 -0.008714 0.039852 0.056170 0.997587
1618222297.860656 3.365256 0.057421 0.157896 -0.005647 0.041424 0.059233 0.997368
1618222297.960727 3.486784 0.146867 0.137633 -0.004920 0.039660 0.054987 0.997687
1618222298.060702 3.618466 0.203995 0.132355 -0.006706 0.026597 0.051354 0.998304
1618222298.160929 3.773545 0.221718 0.156061 -0.003520 0.004434 0.058262 0.998285
1618222298.260351 3.953122 0.216087 0.129219 -0.002799 -0.003860 0.038927 0.999231
1618222298.360251 4.113003 0.160213 0.084373 -0.009242 -0.005034 0.038221 0.999214
1618222298.459914 4.264439 0.068147 0.089998 -0.011404 -0.004908 0.031811 0.999417
1618222298.560160 4.391843 -0.018407 0.146813 -0.008833 -0.005736 0.039116 0.999179
1618222298.660049 4.511213 -0.036631 0.175255 -0.004635 -0.001738 0.036188 0.999333
1618222298.760076 4.638309 -0.034554 0.153230 -0.003446 0.003037 0.036871 0.999309
1618222298.860699 4.773201 -0.007978 0.097774 -0.003065 -0.003740 0.052839 0.998591
1618222298.960828 4.910642 0.023896 0.063128 -0.001570 -0.014353 0.051759 0.998555
1618222299.061320 5.058219 0.070792 0.102975 -0.003818 -0.020856 0.065969 0.997596
1618222299.161283 5.228890 0.137622 0.193589 -0.003377 -0.026902 0.066537 0.997416
1618222299.261045 5.406989 0.198015 0.250062 -0.000808 -0.022576 0.062128 0.997813
1618222299.360709 5.587396 0.263976 0.230771 -0.002549 -0.024176 0.057590 0.998044
1618222299.460501 5.784650 0.323212 0.151732 -0.010330 -0.034558 0.049269 0.998134
1618222299.560593 5.978808 0.361117 0.130830 -0.016309 -0.043455 0.048544 0.997742
1618222299.660717 6.158133 0.376027 0.193518 -0.012833 -0.042609 0.050321 0.997741
1618222299.760562 6.330746 0.380334 0.259247 -0.003568 -0.033585 0.044606 0.998434
1618222299.861024 6.479359 0.372503 0.258475 -0.004880 -0.029987 0.053825 0.998088
1618222299.961551 6.637670 0.340551 0.191696 -0.007885 -0.035369 0.066828 0.997106
1618222300.061874 6.812309 0.309786 0.154884 -0.012610 -0.045636 0.079642 0.995699
1618222300.161442 6.993306 0.297411 0.183743 -0.011856 -0.053889 0.074148 0.995720
1618222300.261649 7.170337 0.294951 0.254692 -0.012617 -0.052981 0.086994 0.994719
1618222300.361119 7.339576 0.296392 0.313738 -0.010636 -0.040408 0.077505 0.996116
