# time(s), pre_rot_eig1, pre_rot_eig2, pre_rot_eig3, pre_trans_eig1, pre_trans_eig2, pre_trans_eig3, post_rot_eig1, post_rot_eig2, post_rot_eig3, post_trans_eig1, post_trans_eig2, post_trans_eig3, cam_used[0], cam_used[1], cam_used[2], cam_used[3], level0_avg_total_rows
1646305719.703227043, 0.000000656, 0.000005271, 0.000007696, 0.000010450, 0.000014328, 0.000030117, 0.000000656, 0.000005271, 0.000007696, 0.000010450, 0.000014328, 0.000030117, 1, 1, 1, 1, 0.000000000
1646305720.203207493, 0.000000188, 0.000000642, 0.000001341, 0.000004226, 0.000005110, 0.000009358, 0.000000188, 0.000000642, 0.000001341, 0.000004226, 0.000005110, 0.000009358, 1, 1, 1, 1, 0.000000000
1646305720.503195763, 0.000000095, 0.000000204, 0.000000605, 0.000002330, 0.000002748, 0.000004507, 0.000000095, 0.000000202, 0.000000602, 0.000002266, 0.000002692, 0.000004486, 1, 1, 1, 1, 1.000000000
1646305721.153173685, 0.000000061, 0.000000095, 0.000000309, 0.000001674, 0.000002075, 0.000003288, 0.000000058, 0.000000095, 0.000000305, 0.000001661, 0.000002073, 0.000003152, 1, 1, 1, 1, 1.000000000
1646305721.278168917, 0.000000045, 0.000000068, 0.000000233, 0.000001215, 0.000001534, 0.000002139, 0.000000037, 0.000000068, 0.000000229, 0.000001078, 0.000001507, 0.000001882, 1, 1, 1, 1, 5.000000000
1646305721.853147030, 0.000000032, 0.000000036, 0.000000126, 0.000001109, 0.000001393, 0.000002054, 0.000000032, 0.000000036, 0.000000125, 0.000001108, 0.000001392, 0.000002050, 1, 1, 1, 1, 1.000000000
1646305722.153135777, 0.000000028, 0.000000032, 0.000000121, 0.000001066, 0.000001321, 0.000002143, 0.000000028, 0.000000031, 0.000000120, 0.000001055, 0.000001318, 0.000002099, 1, 1, 1, 1, 6.000000000
1646305722.253132105, 0.000000024, 0.000000026, 0.000000099, 0.000000808, 0.000001015, 0.000001610, 0.000000023, 0.000000025, 0.000000094, 0.000000660, 0.000000867, 0.000001261, 0, 1, 1, 1, 10.000000000
1646305722.478123426, 0.000000016, 0.000000018, 0.000000073, 0.000000753, 0.000001065, 0.000001637, 0.000000015, 0.000000018, 0.000000066, 0.000000586, 0.000000742, 0.000001123, 0, 1, 1, 1, 19.000000000
1646305723.353090286, 0.000000011, 0.000000018, 0.000000054, 0.000000756, 0.000000977, 0.000001772, 0.000000011, 0.000000018, 0.000000054, 0.000000756, 0.000000977, 0.000001770, 1, 1, 1, 1, 2.000000000
1646305724.053060055, 0.000000009, 0.000000015, 0.000000046, 0.000000681, 0.000000852, 0.000001540, 0.000000009, 0.000000015, 0.000000046, 0.000000663, 0.000000832, 0.000001454, 1, 1, 1, 1, 13.000000000
