# timestamp tx ty tz qx qy qz qw
1646305719.153249 -0.000587 0.000410 -0.000268 -0.000016 -0.000111 0.000184 1.000000
1646305719.228246 -0.001130 -0.000450 -0.000705 -0.000072 -0.000381 0.000075 1.000000
1646305719.303243 -0.000570 -0.000845 0.000034 -0.000181 -0.000398 0.000096 1.000000
1646305719.403239 0.000045 -0.000368 -0.000720 -0.000091 -0.000306 0.000157 1.000000
1646305719.478236 -0.000032 -0.000450 -0.000673 -0.000075 -0.000176 0.000143 1.000000
1646305719.553233 -0.000192 -0.000845 -0.001016 -0.000048 -0.000204 0.000151 1.000000
1646305719.653229 -0.000323 -0.001112 -0.001206 -0.000092 -0.000234 0.000171 1.000000
1646305719.753225 -0.000235 -0.000791 -0.000941 -0.000046 -0.000242 0.000150 1.000000
1646305719.828222 -0.000346 -0.000947 -0.000906 -0.000086 -0.000238 0.000117 1.000000
1646305719.878220 -0.000349 -0.001047 -0.001091 -0.000095 -0.000301 0.000149 1.000000
1646305719.928218 -0.000319 -0.000942 -0.001222 -0.000094 -0.000231 0.000127 1.000000
1646305719.978216 -0.000132 -0.001001 -0.001461 -0.000090 -0.000270 0.000153 1.000000
1646305720.028214 -0.000038 -0.001043 -0.001570 -0.000103 -0.000226 0.000138 1.000000
1646305720.103211 0.000052 -0.000885 -0.001701 -0.000086 -0.000240 0.000161 1.000000
1646305720.153209 -0.000363 0.000103 -0.002009 -0.000118 -0.000313 0.000135 1.000000
1646305720.203207 -0.000235 -0.000357 -0.001952 -0.000096 -0.000231 0.000133 1.000000
1646305720.253206 0.000026 -0.000633 -0.001853 -0.000124 -0.000298 0.000149 1.000000
1646305720.303204 0.000219 -0.000623 -0.001668 -0.000103 -0.000252 0.000156 1.000000
1646305720.353202 0.000046 -0.000386 -0.001515 -0.000111 -0.000268 0.000152 1.000000
1646305720.403199 -0.000000 -0.000196 -0.001365 -0.000055 -0.000286 0.000150 1.000000
1646305720.503196 -0.000376 -0.000357 -0.000940 -0.000083 -0.000281 0.000140 1.000000
1646305720.553194 -0.000421 -0.000502 -0.000858 -0.000090 -0.000250 0.000158 1.000000
1646305720.653190 -0.000478 -0.000584 -0.000739 -0.000082 -0.000252 0.000152 1.000000
1646305720.753186 -0.000369 -0.000692 -0.000774 -0.000084 -0.000237 0.000171 1.000000
1646305720.803184 -0.000217 -0.000827 -0.000803 -0.000103 -0.000266 0.000158 1.000000
1646305720.853182 -0.000312 -0.000565 -0.000883 -0.000085 -0.000229 0.000151 1.000000
1646305720.903180 -0.000297 -0.000591 -0.000935 -0.000102 -0.000228 0.000144 1.000000
1646305720.953178 -0.000295 -0.000507 -0.000924 -0.000085 -0.000252 0.000143 1.000000
1646305721.003176 -0.000249 -0.000580 -0.000911 -0.000087 -0.000244 0.000162 1.000000
1646305721.053178 -0.000282 -0.000473 -0.000909 -0.000077 -0.000249 0.000147 1.000000
1646305721.103176 -0.000278 -0.000530 -0.000858 -0.000101 -0.000260 0.000158 1.000000
1646305721.153174 -0.000281 -0.000399 -0.000889 -0.000090 -0.000254 0.000147 1.000000
1646305721.228171 -0.000336 -0.000354 -0.000883 -0.000089 -0.000259 0.000149 1.000000
1646305721.328167 -0.000483 -0.000411 -0.000913 -0.000089 -0.000218 0.000176 1.000000
1646305721.378165 -0.000490 -0.000485 -0.000990 -0.000101 -0.000208 0.000146 1.000000
1646305721.428163 -0.000462 -0.000405 -0.000961 -0.000093 -0.000226 0.000166 1.000000
1646305721.478161 -0.000376 -0.000414 -0.000924 -0.000089 -0.000256 0.000147 1.000000
1646305721.553159 -0.000316 -0.000349 -0.000729 -0.000100 -0.000234 0.000158 1.000000
1646305721.653155 -0.000250 -0.000358 -0.000673 -0.000077 -0.000220 0.000181 1.000000
1646305721.753151 -0.000000 -0.000074 -0.000785 -0.000093 -0.000230 0.000132 1.000000
1646305721.828148 -0.000109 -0.000021 -0.000939 -0.000096 -0.000207 0.000154 1.000000
1646305721.878146 -0.000298 -0.000174 -0.001023 -0.000094 -0.000242 0.000145 1.000000
1646305721.953143 -0.000326 -0.000360 -0.001021 -0.000096 -0.000250 0.000157 1.000000
1646305722.003142 -0.000214 -0.000355 -0.000929 -0.000097 -0.000295 0.000140 1.000000
1646305722.053140 -0.000338 -0.000371 -0.000871 -0.000089 -0.000243 0.000153 1.000000
1646305722.103138 -0.000372 -0.000415 -0.000812 -0.000094 -0.000293 0.000163 1.000000
1646305722.153136 -0.000301 -0.000431 -0.000796 -0.000072 -0.000249 0.000167 1.000000
1646305722.203134 -0.000121 -0.000286 -0.000786 -0.000109 -0.000239 0.000144 1.000000
1646305722.253132 -0.000268 -0.000420 -0.000823 -0.000082 -0.000237 0.000146 1.000000
1646305722.353128 -0.000191 -0.000355 -0.000863 -0.000096 -0.000239 0.000150 1.000000
1646305722.453125 -0.000228 -0.000411 -0.000974 -0.000095 -0.000220 0.000168 1.000000
1646305722.553121 -0.000337 -0.000441 -0.000773 -0.000053 -0.000235 0.000170 1.000000
1646305722.603119 -0.000163 -0.000332 -0.000763 -0.000091 -0.000251 0.000166 1.000000
1646305722.653117 -0.000165 -0.000432 -0.000761 -0.000062 -0.000252 0.000153 1.000000
1646305722.753113 -0.000170 -0.000559 -0.000887 -0.000097 -0.000248 0.000153 1.000000
1646305722.853109 0.000021 -0.000851 -0.000810 -0.000069 -0.000236 0.000156 1.000000
1646305722.903107 0.000090 -0.000942 -0.000793 -0.000085 -0.000273 0.000126 1.000000
1646305722.953105 -0.000292 -0.000902 -0.000815 -0.000099 -0.000242 0.000151 1.000000
1646305723.003103 -0.000199 -0.000686 -0.000791 -0.000108 -0.000234 0.000140 1.000000
1646305723.053102 -0.000266 -0.000414 -0.000790 -0.000077 -0.000234 0.000164 1.000000
1646305723.103100 -0.000205 -0.000277 -0.000825 -0.000103 -0.000228 0.000163 1.000000
1646305723.153098 -0.000513 0.000110 -0.000870 -0.000092 -0.000263 0.000144 1.000000
1646305723.203096 -0.000421 0.000078 -0.000860 -0.000109 -0.000258 0.000152 1.000000
1646305723.253094 -0.000451 -0.000003 -0.000876 -0.000080 -0.000235 0.000148 1.000000
1646305723.303092 -0.000123 -0.000001 -0.000754 -0.000104 -0.000288 0.000125 1.000000
1646305723.353090 -0.000522 -0.000199 -0.000890 -0.000095 -0.000252 0.000150 1.000000
1646305723.428087 -0.000327 -0.000264 -0.000971 -0.000100 -0.000223 0.000166 1.000000
1646305723.478086 -0.000248 -0.000282 -0.000999 -0.000093 -0.000257 0.000149 1.000000
1646305723.553083 -0.000060 -0.000268 -0.001066 -0.000066 -0.000243 0.000144 1.000000
1646305723.603081 0.000180 -0.000166 -0.000966 -0.000084 -0.000328 0.000161 1.000000
1646305723.653079 0.000279 -0.000163 -0.000909 -0.000107 -0.000295 0.000162 1.000000
1646305723.703077 0.000785 -0.001765 -0.001958 -0.001994 -0.000521 -0.001331 0.999997
1646305723.753075 0.000326 -0.006338 -0.013113 -0.001584 0.003010 -0.007735 0.999964
1646305723.803073 -0.002700 -0.010167 -0.043575 -0.007174 0.025379 -0.012010 0.999580
1646305723.853071 -0.005677 -0.012474 -0.089724 -0.005108 0.048015 -0.016349 0.998700
1646305723.953068 0.007442 -0.002404 -0.210982 0.008035 0.032849 -0.009274 0.999385
1646305724.053060 0.030927 0.042087 -0.354790 0.062262 -0.004468 0.028291 0.997649
1646305724.153056 0.048654 0.107187 -0.504294 0.129037 -0.002460 0.082882 0.988167
1646305724.253053 0.064966 0.176802 -0.640668 0.167400 0.026809 0.128062 0.977169
1646305724.353049 0.089995 0.254484 -0.741657 0.191125 0.050601 0.145765 0.969362
1646305724.403047 0.107577 0.294859 -0.777581 0.188177 0.055341 0.146011 0.969643
1646305724.453045 0.125583 0.339106 -0.805284 0.184222 0.057407 0.148635 0.969884
1646305724.503043 0.145131 0.385274 -0.821477 0.181186 0.056876 0.152001 0.969965
1646305724.578040 0.176642 0.465531 -0.836568 0.170781 0.047703 0.168750 0.969578
1646305724.653037 0.209542 0.553635 -0.836843 0.128784 0.031724 0.204253 0.969891
1646305724.753034 0.247511 0.690654 -0.826531 0.041498 0.003756 0.267692 0.962603
1646305724.853030 0.269262 0.853668 -0.839434 -0.036840 -0.052888 0.339380 0.938438
1646305724.953026 0.291365 1.009793 -0.878787 -0.133291 -0.107263 0.392932 0.903512
1646305725.003024 0.312235 1.080496 -0.901920 -0.196766 -0.133891 0.403359 0.883549
1646305725.053022 0.346249 1.146589 -0.923113 -0.269517 -0.155838 0.398598 0.862667
1646305725.103020 0.380823 1.206868 -0.938099 -0.337376 -0.167157 0.386496 0.841936
1646305725.153018 0.423487 1.262112 -0.948733 -0.391711 -0.161150 0.364856 0.829140
1646305725.253015 0.528202 1.352950 -0.963102 -0.436931 -0.139306 0.320449 0.828854
1646305725.353011 0.661078 1.409193 -0.959654 -0.426047 -0.113427 0.265338 0.857446
1646305725.403009 0.731056 1.422826 -0.952661 -0.395722 -0.096796 0.233383 0.882931
1646305725.478006 0.837358 1.425704 -0.940174 -0.333107 -0.072288 0.186863 0.921356
1646305725.578002 0.983205 1.414352 -0.925554 -0.254501 -0.026078 0.123669 0.958778
1646305725.677999 1.126635 1.404379 -0.923752 -0.194679 0.016794 0.077803 0.977632
1646305725.727997 1.197333 1.408444 -0.934447 -0.166095 0.034810 0.064361 0.983391
1646305725.777995 1.265346 1.423060 -0.952159 -0.128798 0.054978 0.060782 0.988278
1646305725.827993 1.336238 1.446216 -0.976340 -0.082124 0.071940 0.066547 0.991792
1646305725.877991 1.403527 1.475399 -1.001091 -0.029996 0.082085 0.078552 0.993072
