# time(s), cam_used[0], cam_used[1], cam_used[2], cam_used[3], cam_rows[0], cam_rows[1], cam_rows[2], cam_rows[3], cam_sol[0][0], cam_sol[0][1], cam_sol[0][2], cam_sol[0][3], cam_sol[0][4], cam_sol[0][5], cam_sol[0][6], cam_sol[1][0], cam_sol[1][1], cam_sol[1][2], cam_sol[1][3], cam_sol[1][4], cam_sol[1][5], cam_sol[1][6], cam_sol[2][0], cam_sol[2][1], cam_sol[2][2], cam_sol[2][3], cam_sol[2][4], cam_sol[2][5], cam_sol[2][6], cam_sol[3][0], cam_sol[3][1], cam_sol[3][2], cam_sol[3][3], cam_sol[3][4], cam_sol[3][5], cam_sol[3][6], level0_avg_total_rows
1646305719.1532488, 0, 1, 1, 1, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
1646305719.2282457, 0, 1, 1, 1, 0, 1088, 512, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, -0.0002668, -0.0004379, -0.0002206, 0.0006700, -0.0003210, -0.0001036, -0.0258406, -0.0000791, 0.0000838, 0.0000219, -0.0000705, 0.0002496, 0.0002802, 0.0130162, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 25.0000000
1646305719.3032429, 0, 1, 1, 1, 0, 1280, 768, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, -0.0001185, -0.0001921, -0.0001162, 0.0002522, 0.0000186, 0.0000644, -0.0188715, 0.0000885, 0.0000613, 0.0002002, 0.0004436, -0.0000549, -0.0004852, 0.0033352, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 32.0000000
1646305719.4032390, 1, 1, 1, 0, 1216, 0, 0, 0, -0.0001036, -0.0003892, -0.0000889, 0.0000292, -0.0002037, 0.0000043, -0.0177218, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 19.0000000
1646305719.4782360, 1, 1, 1, 0, 128, 1600, 0, 0, -0.0000021, -0.0000141, -0.0000004, -0.0000142, -0.0000173, -0.0000878, -0.0008197, -0.0000469, -0.0001568, -0.0000827, 0.0003271, -0.0005302, -0.0000832, -0.0214163, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 27.0000000
1646305719.5532331, 0, 1, 1, 0, 0, 2048, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, -0.0000445, 0.0000597, -0.0000097, 0.0000247, 0.0000134, -0.0001095, -0.0267966, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 32.0000000
1646305719.6532290, 0, 1, 1, 1, 0, 2368, 640, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, -0.0000080, 0.0000073, -0.0000088, -0.0000081, 0.0000960, -0.0002301, -0.0092811, -0.0000088, -0.0000158, -0.0000066, -0.0001017, 0.0000050, 0.0001236, 0.0067099, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 47.0000000
1646305719.7532253, 0, 1, 1, 1, 0, 2240, 704, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000006, 0.0000184, 0.0000019, -0.0000633, 0.0001252, -0.0002037, -0.0069212, 0.0000033, -0.0000435, 0.0000030, -0.0001371, 0.0000322, -0.0001511, 0.0025039, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 46.0000000
1646305719.8282223, 0, 1, 1, 1, 0, 2304, 640, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000131, 0.0000785, 0.0000024, -0.0000507, 0.0000661, -0.0002825, -0.0032458, 0.0000040, -0.0000494, 0.0000058, -0.0000248, 0.0000569, -0.0002188, 0.0008882, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 46.0000000
1646305719.8782203, 0, 1, 1, 0, 0, 2368, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000118, 0.0000162, -0.0000030, -0.0001388, 0.0001538, -0.0004115, -0.0059110, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 37.0000000
