# timestamp tx ty tz qx qy qz qw
1646305719.153249 -0.000587 0.000410 -0.000268 -0.000016 -0.000111 0.000184 1.000000
1646305719.253245 -0.000843 -0.000028 -0.000629 -0.000038 -0.000052 0.000138 1.000000
1646305719.353241 0.020621 -0.008115 0.000733 -0.000948 -0.002001 -0.001177 0.999997
1646305719.403239 0.011275 -0.003743 -0.000208 -0.000642 -0.001102 0.000203 0.999999
1646305719.503235 -0.002944 -0.006143 -0.025581 -0.001119 -0.002827 -0.000790 0.999995
1646305719.603231 0.034844 0.041501 -0.017020 -0.000434 0.000797 -0.001191 0.999999
1646305719.703227 0.013157 0.045871 0.018436 -0.000512 0.001591 -0.001049 0.999998
1646305719.803223 -0.011930 0.043601 0.055634 0.000417 0.003204 -0.000405 0.999995
1646305719.953217 -0.005150 0.032338 0.056895 0.000801 0.003877 0.000027 0.999992
1646305720.053213 0.010361 0.023976 0.025903 0.000291 0.002777 -0.000352 0.999996
1646305720.153209 0.015456 0.018462 -0.002937 -0.000345 0.001339 -0.000787 0.999999
1646305720.253206 0.016895 0.023761 -0.022220 -0.000747 0.000394 -0.001026 0.999999
1646305720.353202 0.016802 0.026047 -0.032872 -0.000935 -0.000200 -0.001157 0.999999
1646305720.453198 0.016771 0.025409 -0.028389 -0.000863 -0.000143 -0.001224 0.999999
1646305720.553194 0.015763 0.022426 -0.011622 -0.000596 0.000510 -0.001099 0.999999
1646305720.603192 0.013282 0.022159 -0.002612 -0.000745 0.000097 -0.001095 0.999999
1646305720.653190 0.011449 0.023187 0.004770 -0.000363 0.001498 -0.000762 0.999999
1646305720.703188 0.010119 0.024251 0.009936 -0.000776 0.000541 -0.001071 0.999999
1646305720.753186 0.010492 0.025419 0.010835 -0.000197 0.001798 -0.000652 0.999998
1646305720.803184 0.009918 0.026346 0.011183 -0.000840 0.000622 -0.001077 0.999999
1646305720.903180 0.012498 0.026116 0.003243 -0.000416 0.001227 -0.000943 0.999999
1646305720.953178 0.013117 0.025545 0.000230 -0.000337 0.001336 -0.000824 0.999999
1646305721.003176 0.013308 0.024721 -0.002355 -0.000748 0.000558 -0.001083 0.999999
1646305721.103176 0.014354 0.023561 -0.007944 -0.000446 0.000899 -0.000977 0.999999
1646305721.203172 0.014842 0.023114 -0.010031 -0.000493 0.000801 -0.001001 0.999999
1646305721.253170 0.014399 0.023365 -0.009237 -0.000542 0.000857 -0.000954 0.999999
1646305721.303168 0.013499 0.023485 -0.008338 -0.000649 0.000402 -0.001064 0.999999
1646305721.353166 0.013184 0.023799 -0.006603 -0.000523 0.000959 -0.000908 0.999999
1646305721.453162 0.013701 0.023970 -0.004531 -0.000477 0.000927 -0.000978 0.999999
1646305721.503160 0.013070 0.024188 -0.003894 -0.000680 0.000427 -0.001098 0.999999
1646305721.603157 0.013471 0.024188 -0.004244 -0.000472 0.000940 -0.000982 0.999999
1646305721.703153 0.013994 0.023860 -0.004825 -0.000444 0.000960 -0.000978 0.999999
1646305721.803149 0.014300 0.023764 -0.005295 -0.000452 0.000962 -0.000957 0.999999
1646305721.853147 0.013804 0.023903 -0.005337 -0.000492 0.001003 -0.000934 0.999999
