# timestamp tx ty tz qx qy qz qw
1646305719.153249 -0.001297 0.000533 -0.000282 -0.000043 -0.000194 0.000151 1.000000
1646305719.203247 -0.001261 0.000493 -0.000472 0.000000 -0.000169 0.000150 1.000000
1646305719.253245 -0.002308 -0.000181 -0.000042 -0.000029 -0.000033 0.000214 1.000000
1646305719.303243 0.025750 -0.017719 -0.003405 -0.003561 0.000598 -0.001918 0.999992
1646305719.353241 0.004306 0.026453 0.067862 0.003853 0.001894 -0.000645 0.999991
1646305719.403239 0.016711 0.038529 0.130456 -0.001363 0.004035 -0.002615 0.999988
1646305719.453237 0.015650 0.056621 0.166965 0.002397 0.007702 -0.000810 0.999967
1646305719.503235 0.033468 0.072719 0.204832 0.001205 0.012949 -0.003898 0.999908
1646305719.553233 0.038851 0.082655 0.238825 0.003913 0.016895 -0.001830 0.999848
1646305719.603231 0.045219 0.083068 0.270870 0.002795 0.014525 -0.002256 0.999888
1646305719.653229 0.048478 0.088478 0.300764 0.005329 0.019316 -0.002184 0.999797
1646305719.703227 0.053569 0.086662 0.328479 0.004182 0.020845 -0.002037 0.999772
1646305719.753225 0.051497 0.089646 0.354113 0.006662 0.021359 -0.002202 0.999747
1646305719.803223 0.050192 0.093746 0.372169 0.004778 0.022121 -0.001903 0.999742
1646305719.853221 0.052059 0.093084 0.386275 0.007479 0.022605 -0.002204 0.999714
1646305719.903219 0.050939 0.095496 0.402536 0.005027 0.024081 -0.002030 0.999695
1646305719.953217 0.052748 0.093783 0.405133 0.007937 0.023349 -0.002183 0.999693
1646305720.003215 0.051007 0.095032 0.409791 0.005005 0.024671 -0.002061 0.999681
1646305720.053213 0.052034 0.093388 0.406384 0.008058 0.023468 -0.002124 0.999690
1646305720.103211 0.049819 0.094430 0.404651 0.004970 0.024602 -0.001979 0.999683
1646305720.153209 0.051133 0.093516 0.403617 0.008091 0.023342 -0.002134 0.999693
1646305720.203207 0.049349 0.094034 0.402684 0.004926 0.024660 -0.002046 0.999682
1646305720.253206 0.050407 0.092872 0.400769 0.008050 0.023260 -0.002079 0.999695
1646305720.303204 0.048660 0.093590 0.400283 0.004928 0.024669 -0.002030 0.999681
1646305720.353202 0.049769 0.092804 0.398407 0.008031 0.023190 -0.002069 0.999697
1646305720.403199 0.048336 0.093657 0.397763 0.005000 0.024592 -0.002039 0.999683
1646305720.453198 0.049147 0.093068 0.396004 0.007995 0.023080 -0.002073 0.999700
1646305720.503196 0.047736 0.093719 0.395756 0.005015 0.024512 -0.002042 0.999685
1646305720.553194 0.048820 0.092901 0.394514 0.007966 0.023035 -0.002047 0.999701
1646305720.628191 0.044909 0.092603 0.363319 0.007134 0.022545 -0.001857 0.999719
1646305720.653190 0.045773 0.092267 0.360045 0.007380 0.021666 -0.002071 0.999736
1646305720.728187 0.043006 0.091214 0.328145 0.006524 0.022487 -0.001869 0.999724
1646305720.803184 0.041507 0.089894 0.315048 0.005945 0.021438 -0.001931 0.999751
1646305720.853182 0.041623 0.088452 0.311014 0.006127 0.020012 -0.002000 0.999779
1646305720.903180 0.041986 0.087851 0.309174 0.006270 0.022776 -0.002028 0.999719
1646305720.953178 0.043022 0.087512 0.312569 0.006094 0.020087 -0.002045 0.999778
1646305721.003176 0.043653 0.087989 0.318638 0.006190 0.022795 -0.001981 0.999719
1646305721.053178 0.044182 0.088486 0.324687 0.006332 0.020495 -0.002062 0.999768
1646305721.103176 0.044004 0.089304 0.329706 0.006081 0.022811 -0.001985 0.999719
1646305721.153174 0.044472 0.089590 0.334189 0.006505 0.020821 -0.002046 0.999760
1646305721.203172 0.044102 0.090431 0.339116 0.005890 0.022839 -0.001999 0.999720
1646305721.253170 0.044826 0.090266 0.342385 0.006713 0.021104 -0.002035 0.999753
1646305721.303168 0.044219 0.090759 0.346213 0.005823 0.022987 -0.001989 0.999717
1646305721.353166 0.045038 0.090600 0.349860 0.006849 0.021380 -0.002027 0.999746
1646305721.403164 0.044336 0.091425 0.354010 0.005670 0.022921 -0.001989 0.999719
1646305721.453162 0.045645 0.091233 0.357389 0.007000 0.021666 -0.002024 0.999739
1646305721.503160 0.044744 0.091968 0.360401 0.005565 0.022910 -0.002008 0.999720
1646305721.553159 0.045987 0.091494 0.361792 0.007091 0.021809 -0.002034 0.999735
1646305721.603157 0.044999 0.092099 0.364153 0.005473 0.023037 -0.001996 0.999718
1646305721.653155 0.045974 0.091574 0.363877 0.007174 0.021867 -0.002005 0.999733
1646305721.703153 0.044768 0.092099 0.363703 0.005467 0.022969 -0.002011 0.999719
1646305721.753151 0.045843 0.091425 0.362364 0.007136 0.021828 -0.002024 0.999734
1646305721.803149 0.044573 0.092176 0.361807 0.005506 0.022985 -0.001994 0.999719
1646305721.853147 0.045359 0.091521 0.359781 0.007092 0.021731 -0.002037 0.999737
1646305721.903145 0.044306 0.091942 0.359029 0.005538 0.022872 -0.002005 0.999721
1646305721.953143 0.045177 0.091313 0.356501 0.007019 0.021608 -0.002000 0.999740
1646305722.003142 0.044197 0.091513 0.355502 0.005588 0.022807 -0.002011 0.999722
1646305722.053140 0.044868 0.090941 0.353589 0.006960 0.021493 -0.002017 0.999743
1646305722.078139 0.044309 0.090833 0.351975 0.005599 0.022534 -0.001997 0.999728
1646305722.103138 0.043597 0.091131 0.351576 0.005664 0.022627 -0.001983 0.999726
1646305722.178135 0.040888 0.089780 0.326467 0.006312 0.020815 -0.001926 0.999762
1646305722.253132 0.040360 0.088979 0.319292 0.006216 0.020250 -0.001948 0.999774
1646305722.303130 0.040303 0.089192 0.317925 0.006260 0.022359 -0.002006 0.999728
1646305722.378127 0.040896 0.089213 0.318685 0.006226 0.020609 -0.001919 0.999766
1646305722.453125 0.041068 0.088819 0.316899 0.006130 0.020153 -0.001936 0.999776
1646305722.503123 0.041215 0.089205 0.319024 0.006273 0.022279 -0.001993 0.999730
1646305722.553121 0.042194 0.089076 0.320269 0.006193 0.020289 -0.001964 0.999773
1646305722.603119 0.042451 0.089492 0.325186 0.006165 0.022331 -0.001976 0.999730
1646305722.653117 0.043095 0.089497 0.328275 0.006365 0.020557 -0.001982 0.999766
1646305722.703115 0.042821 0.090032 0.333672 0.005995 0.022348 -0.001972 0.999730
1646305722.753113 0.043430 0.089908 0.335950 0.006503 0.020844 -0.001982 0.999760
1646305722.803111 0.042784 0.090388 0.340356 0.005918 0.022384 -0.001983 0.999730
1646305722.878108 0.041006 0.089621 0.327300 0.006246 0.020712 -0.001915 0.999764
1646305722.953105 0.040965 0.089673 0.326145 0.006294 0.020459 -0.001946 0.999769
1646305723.003103 0.040850 0.089936 0.326318 0.006109 0.022203 -0.002013 0.999733
1646305723.053102 0.042077 0.089644 0.326858 0.006326 0.020512 -0.001934 0.999768
1646305723.103100 0.042035 0.090025 0.329329 0.006071 0.022271 -0.001982 0.999732
1646305723.153098 0.042698 0.089815 0.330360 0.006381 0.020627 -0.001962 0.999765
1646305723.203096 0.042385 0.090164 0.334447 0.005973 0.022272 -0.001984 0.999732
1646305723.253094 0.043099 0.089933 0.335352 0.006505 0.020815 -0.001975 0.999760
1646305723.303092 0.042650 0.090120 0.338460 0.005913 0.022318 -0.002013 0.999731
1646305723.353090 0.043253 0.089984 0.338725 0.006565 0.020934 -0.001989 0.999757
1646305723.403088 0.042566 0.090417 0.341400 0.005864 0.022341 -0.001991 0.999731
1646305723.453087 0.043524 0.090219 0.341385 0.006640 0.021027 -0.001985 0.999755
1646305723.478086 0.043230 0.090580 0.342256 0.005821 0.022055 -0.001978 0.999738
1646305723.553083 0.042952 0.090314 0.341225 0.006654 0.021030 -0.001935 0.999755
1646305723.603081 0.042040 0.091138 0.342941 0.005837 0.022215 -0.001989 0.999734
1646305723.653079 0.043044 0.090436 0.341174 0.006607 0.020892 -0.001927 0.999758
1646305723.703077 0.043370 0.089041 0.340504 0.003941 0.022092 -0.003415 0.999742
1646305723.753075 0.039925 0.083494 0.327433 0.005185 0.024324 -0.009462 0.999646
1646305723.803073 0.034305 0.080210 0.299271 0.003654 0.045052 -0.013644 0.998885
1646305723.853071 0.029478 0.075906 0.253830 0.002872 0.068243 -0.017615 0.997509
1646305723.903069 0.029386 0.079880 0.202228 0.005339 0.070388 -0.018145 0.997340
1646305723.953068 0.038201 0.088084 0.139108 0.016354 0.052688 -0.010960 0.998417
1646305724.003066 0.046865 0.108598 0.075708 0.036561 0.032012 0.002947 0.998814
1646305724.053060 0.057824 0.136733 -0.001830 0.069744 0.015938 0.025098 0.997122
1646305724.103058 0.063169 0.169977 -0.072572 0.105759 0.010264 0.050712 0.993045
