# timestamp tx ty tz qx qy qz qw
1646305719.128250 -0.001301 0.000503 -0.000277 -0.000049 -0.000156 0.000106 1.000000
1646305719.203247 -0.001182 0.000428 -0.000574 0.000001 -0.000111 0.000101 1.000000
1646305719.228246 -0.002520 -0.000400 -0.000030 0.000014 -0.000089 0.000136 1.000000
1646305719.253245 -0.002047 -0.000404 -0.000002 -0.000023 -0.000014 0.000149 1.000000
1646305719.278244 -0.001686 -0.000480 -0.000124 -0.000102 -0.000065 -0.000042 1.000000
1646305719.303243 -0.000129 -0.000172 0.000006 -0.000131 -0.000021 -0.000083 1.000000
1646305719.328242 0.000988 -0.002219 0.000394 -0.000253 -0.000090 -0.000240 1.000000
1646305719.353241 0.000727 -0.002202 0.000323 -0.000246 0.000103 -0.000029 1.000000
1646305719.378240 0.000050 -0.001272 0.000276 -0.000164 0.000088 0.000087 1.000000
1646305719.403239 -0.000196 -0.001025 -0.000062 -0.000153 0.000043 0.000008 1.000000
1646305719.453237 0.000115 -0.001846 -0.001270 -0.000074 0.000019 0.000029 1.000000
1646305719.503235 0.000507 -0.001423 -0.001338 -0.000016 0.000088 0.000075 1.000000
1646305719.528234 0.000455 -0.000905 -0.001380 -0.000062 0.000289 -0.000030 1.000000
1646305719.553233 0.000487 -0.000715 -0.001473 -0.000211 0.000077 0.000009 1.000000
1646305719.578232 0.000402 -0.000534 -0.001359 -0.000073 0.000116 0.000147 1.000000
1646305719.603231 0.000444 -0.000309 -0.001372 -0.000032 0.000190 0.000120 1.000000
1646305719.628230 0.000413 -0.000043 -0.001799 -0.000019 0.000876 0.000060 1.000000
1646305719.653229 0.000522 0.000168 -0.002091 -0.000250 0.000061 0.000019 1.000000
1646305719.678228 0.000658 0.000434 -0.002290 -0.000069 -0.000008 0.000096 1.000000
1646305719.703227 0.000717 0.000622 -0.002338 -0.000039 0.000109 0.000143 1.000000
1646305719.728226 0.000341 0.000610 -0.002409 -0.000140 0.000183 0.000002 1.000000
1646305719.753225 0.000349 0.000754 -0.002455 -0.000242 -0.000042 0.000001 1.000000
1646305719.778224 0.000535 0.000776 -0.002428 -0.000073 -0.000023 0.000050 1.000000
1646305719.803223 0.000414 0.000745 -0.002438 -0.000049 0.000059 0.000128 1.000000
1646305719.828222 0.000378 0.000465 -0.002888 -0.000105 0.000635 0.000006 1.000000
1646305719.853221 0.000440 0.000452 -0.002957 -0.000265 -0.000037 -0.000032 1.000000
1646305719.878220 0.000614 0.000281 -0.002930 -0.000049 -0.000032 0.000056 1.000000
1646305719.903219 0.000554 0.000175 -0.002884 -0.000051 0.000063 0.000119 1.000000
1646305719.953217 0.000066 -0.000310 -0.002149 -0.000205 -0.000022 0.000017 1.000000
1646305719.978216 0.000138 -0.000424 -0.002152 -0.000063 0.000002 0.000066 1.000000
1646305720.003215 0.000193 -0.000491 -0.001937 -0.000036 0.000017 0.000072 1.000000
1646305720.053213 -0.000533 -0.000270 -0.002594 -0.000190 -0.000032 0.000047 1.000000
1646305720.078212 -0.000210 -0.000259 -0.002327 -0.000063 0.000001 0.000067 1.000000
1646305720.103211 -0.000127 -0.000192 -0.002175 -0.000055 0.000031 0.000039 1.000000
1646305720.128211 0.000006 -0.000231 -0.002115 -0.000142 0.000164 0.000006 1.000000
1646305720.153209 0.000049 -0.000292 -0.001750 -0.000205 -0.000022 0.000018 1.000000
1646305720.178209 0.000204 -0.000714 -0.001340 -0.000089 0.000027 0.000086 1.000000
1646305720.203207 0.000249 -0.000763 -0.001167 -0.000086 0.000077 0.000022 1.000000
1646305720.228207 0.000004 -0.001057 -0.001096 -0.000101 0.000189 0.000017 1.000000
1646305720.253206 0.000019 -0.001145 -0.000996 -0.000194 0.000007 0.000056 1.000000
1646305720.278204 0.000157 -0.001249 -0.000710 -0.000092 0.000027 0.000085 1.000000
1646305720.303204 0.000267 -0.001212 -0.001200 -0.000089 0.000051 0.000034 1.000000
1646305720.328202 0.000228 -0.001709 -0.001558 -0.000116 0.000176 -0.000033 1.000000
1646305720.353202 0.000196 -0.001755 -0.001587 -0.000189 0.000016 0.000052 1.000000
1646305720.378201 0.000577 -0.001880 -0.001452 -0.000076 -0.000004 0.000111 1.000000
1646305720.403199 0.000592 -0.001863 -0.001450 -0.000033 0.000024 0.000044 1.000000
1646305720.428199 0.000627 -0.001639 -0.001542 -0.000119 0.000129 -0.000032 1.000000
1646305720.453198 0.000359 -0.001479 -0.001453 -0.000215 0.000015 0.000004 1.000000
1646305720.478197 0.000662 -0.001725 -0.001242 -0.000081 0.000038 0.000086 1.000000
1646305720.503196 0.000565 -0.001636 -0.001221 -0.000070 0.000017 0.000034 1.000000
1646305720.528195 0.000329 -0.001820 -0.001365 -0.000120 0.000164 -0.000035 1.000000
1646305720.553194 -0.000051 -0.001569 -0.002009 -0.000192 -0.000020 0.000043 1.000000
1646305720.578193 -0.000132 -0.001279 -0.002046 -0.000068 0.000013 0.000081 1.000000
1646305720.603192 -0.000027 -0.001030 -0.002086 -0.000073 0.000034 0.000021 1.000000
1646305720.628191 0.000002 -0.001460 -0.002176 -0.000133 0.000190 -0.000028 1.000000
1646305720.653190 -0.000014 -0.001339 -0.002136 -0.000198 -0.000025 0.000030 1.000000
1646305720.678189 -0.000011 -0.001133 -0.002123 -0.000063 -0.000010 0.000076 1.000000
1646305720.703188 0.000028 -0.000973 -0.002040 -0.000045 0.000034 0.000027 1.000000
1646305720.728187 -0.000077 -0.001317 -0.001873 -0.000131 0.000159 -0.000023 1.000000
1646305720.753186 -0.000000 -0.001230 -0.001728 -0.000181 -0.000015 0.000046 1.000000
1646305720.778185 0.000352 -0.001341 -0.001437 -0.000080 0.000005 0.000086 1.000000
1646305720.803184 0.000417 -0.001292 -0.001320 -0.000074 0.000021 0.000025 1.000000
1646305720.828183 0.000345 -0.001062 -0.001150 -0.000114 0.000175 -0.000035 1.000000
1646305720.853182 0.000232 -0.000946 -0.001080 -0.000155 0.000035 0.000009 1.000000
1646305720.878181 0.000452 -0.001084 -0.000833 -0.000084 0.000039 0.000075 1.000000
1646305720.903180 0.000403 -0.001106 -0.000734 -0.000085 0.000074 0.000039 1.000000
1646305720.928179 0.000641 -0.001114 -0.000944 -0.000107 0.000157 -0.000029 1.000000
1646305720.953178 0.000474 -0.000984 -0.000914 -0.000169 0.000032 0.000005 1.000000
1646305720.978177 0.000655 -0.001158 -0.000710 -0.000088 0.000039 0.000092 1.000000
1646305721.003176 0.000478 -0.001227 -0.000944 -0.000071 0.000048 0.000060 1.000000
1646305721.028175 0.000127 -0.001458 -0.000801 -0.000090 0.000180 -0.000027 1.000000
1646305721.053178 0.000039 -0.001422 -0.000864 -0.000154 0.000022 0.000029 1.000000
