# time(s), cam_used[0], cam_used[1], cam_used[2], cam_used[3], cam_rows[0], cam_rows[1], cam_rows[2], cam_rows[3], cam_sol[0][0], cam_sol[0][1], cam_sol[0][2], cam_sol[0][3], cam_sol[0][4], cam_sol[0][5], cam_sol[0][6], cam_sol[1][0], cam_sol[1][1], cam_sol[1][2], cam_sol[1][3], cam_sol[1][4], cam_sol[1][5], cam_sol[1][6], cam_sol[2][0], cam_sol[2][1], cam_sol[2][2], cam_sol[2][3], cam_sol[2][4], cam_sol[2][5], cam_sol[2][6], cam_sol[3][0], cam_sol[3][1], cam_sol[3][2], cam_sol[3][3], cam_sol[3][4], cam_sol[3][5], cam_sol[3][6], level0_avg_total_rows
1646305719.1532488, 0, 1, 1, 0, 0, 0, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
1646305719.3532407, 0, 1, 1, 1, 0, 1728, 64, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0004313, -0.0003258, -0.0005453, -0.0005140, 0.0014736, -0.0001178, -0.0095187, -0.0001206, -0.0000245, -0.0000028, -0.0000355, -0.0000327, 0.0000398, -0.0019348, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 28.0000000
1646305719.4282382, 0, 1, 1, 1, 0, 1280, 256, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0004614, 0.0004490, -0.0002219, 0.0005348, 0.0004093, 0.0005538, 0.0227146, -0.0001456, 0.0003675, -0.0001394, -0.0000001, 0.0004094, 0.0006025, -0.0133353, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 24.0000000
1646305719.6032310, 0, 1, 1, 1, 0, 2560, 576, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, -0.0004354, -0.0005388, -0.0003927, -0.0000240, 0.0004915, -0.0001017, 0.0004167, -0.0001055, 0.0004605, 0.0000366, 0.0004549, 0.0001294, 0.0006639, -0.0160149, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 49.0000000
1646305719.7532253, 0, 1, 1, 1, 0, 2688, 896, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, -0.0002122, -0.0007867, 0.0000865, 0.0000967, 0.0002759, -0.0005376, 0.0251614, -0.0001186, 0.0000363, 0.0001307, -0.0002889, -0.0004922, 0.0000314, -0.0375702, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 56.0000000
1646305719.9032192, 0, 1, 1, 1, 0, 2624, 1472, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0001260, -0.0002405, -0.0002432, -0.0004605, 0.0009768, 0.0002645, 0.0183321, -0.0000391, -0.0003910, 0.0001433, 0.0001293, -0.0001131, -0.0002881, -0.0325569, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 64.0000000
1646305719.9782164, 0, 1, 1, 1, 0, 2688, 1792, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000827, -0.0001722, -0.0003220, 0.0011648, -0.0020207, -0.0003417, 0.0224521, -0.0000230, -0.0000318, 0.0000293, 0.0003692, 0.0000671, 0.0001937, -0.0196738, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 70.0000000
1646305720.1532094, 1, 1, 1, 0, 256, 2752, 0, 0, -0.0000104, -0.0000311, -0.0000323, 0.0000387, 0.0001406, -0.0002748, 0.0043028, 0.0000488, 0.0001023, -0.0001494, 0.0003228, -0.0019775, -0.0001220, -0.0023706, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 47.0000000
1646305720.2782044, 0, 1, 1, 1, 0, 3328, 1472, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000268, 0.0001158, -0.0000535, 0.0001569, -0.0014316, 0.0000880, -0.0126677, -0.0000128, 0.0000277, 0.0000180, 0.0001925, -0.0000145, 0.0000718, 0.0093452, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 75.0000000
1646305720.3282025, 0, 1, 1, 0, 0, 3136, 0, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, -0.0000257, 0.0007095, -0.0001157, 0.0005360, -0.0010196, -0.0006794, -0.0183279, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 49.0000000
1646305720.5531938, 1, 1, 1, 0, 384, 3712, 0, 0, -0.0000032, -0.0000093, 0.0000076, -0.0000639, 0.0000748, -0.0001040, -0.0026310, 0.0000139, 0.0000115, 0.0000025, 0.0003899, -0.0003918, -0.0004885, 0.0007904, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 64.0000000
1646305720.6781888, 0, 1, 1, 1, 0, 4608, 896, 0, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, -0.0000008, 0.0000237, 0.0000199, 0.0000879, 0.0002703, -0.0000890, -0.0090844, 0.0000011, -0.0000012, -0.0000017, 0.0000078, -0.0000263, -0.0000431, 0.0033293, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 86.0000000
