# timestamp tx ty tz qx qy qz qw
1646305719.128250 -0.001301 0.000503 -0.000277 -0.000049 -0.000156 0.000106 1.000000
1646305719.203247 -0.001180 0.000445 -0.000489 -0.000000 -0.000103 0.000101 1.000000
1646305719.228246 -0.000680 -0.000538 0.000182 0.000039 -0.000126 -0.000062 1.000000
1646305719.253245 -0.001095 -0.000029 0.000050 -0.000006 -0.000050 0.000054 1.000000
1646305719.278244 -0.000861 0.000046 -0.000042 -0.000032 -0.000069 0.000057 1.000000
1646305719.303243 -0.000386 0.000118 -0.000104 -0.000055 -0.000035 0.000049 1.000000
1646305719.328242 0.000139 0.000574 -0.000025 -0.000017 0.000129 0.000050 1.000000
1646305719.353241 0.000123 0.000437 -0.000063 -0.000009 0.000016 0.000021 1.000000
1646305719.378240 0.000975 -0.001603 -0.000651 -0.000002 0.000174 -0.000067 1.000000
1646305719.403239 0.000834 -0.002016 -0.000841 0.000013 0.000159 -0.000028 1.000000
1646305719.428238 0.001151 -0.002389 -0.001461 0.000016 0.000306 -0.000022 1.000000
1646305719.453237 0.001134 -0.002443 -0.001583 -0.000003 -0.000001 -0.000018 1.000000
1646305719.478236 0.001017 -0.002347 -0.002007 0.000008 0.000078 0.000006 1.000000
1646305719.503235 0.000812 -0.002169 -0.002024 0.000000 -0.000007 0.000040 1.000000
1646305719.528234 0.000396 -0.001776 -0.001617 0.000001 -0.000049 0.000025 1.000000
1646305719.553233 -0.000118 -0.001168 -0.001041 0.000001 -0.000058 0.000027 1.000000
1646305719.578232 -0.000463 -0.000789 -0.001086 -0.000016 -0.000026 0.000038 1.000000
1646305719.603231 -0.000740 -0.000299 -0.000703 -0.000019 -0.000001 0.000023 1.000000
1646305719.628230 -0.000757 -0.000132 -0.000745 -0.000013 0.000037 0.000017 1.000000
1646305719.653229 -0.000680 0.000186 -0.000427 -0.000033 -0.000036 0.000045 1.000000
1646305719.678228 -0.000205 0.000382 0.000330 -0.000046 -0.000063 0.000045 1.000000
1646305719.703227 0.000089 0.000450 0.000626 -0.000038 -0.000063 0.000055 1.000000
1646305719.728226 0.000377 -0.000031 0.000653 -0.000016 -0.000025 0.000005 1.000000
1646305719.753225 0.000534 -0.000141 0.000649 0.000012 -0.000026 -0.000013 1.000000
1646305719.778224 0.000707 -0.000009 0.001241 -0.000033 0.000022 0.000009 1.000000
1646305719.803223 0.000661 -0.000128 0.001008 -0.000031 0.000019 0.000011 1.000000
1646305719.853221 0.000521 -0.000433 0.000716 -0.000021 0.000013 -0.000018 1.000000
1646305719.878220 0.000250 -0.000911 -0.000265 -0.000016 -0.000022 0.000018 1.000000
1646305719.903219 -0.000037 -0.001114 -0.000877 -0.000019 -0.000024 0.000030 1.000000
1646305719.928218 -0.000314 -0.001082 -0.001255 -0.000026 -0.000007 0.000038 1.000000
1646305719.953217 -0.000587 -0.001002 -0.001460 -0.000057 -0.000065 0.000064 1.000000
1646305719.978216 -0.000757 -0.000805 -0.001367 -0.000029 -0.000075 0.000042 1.000000
1646305720.003215 -0.000831 -0.000642 -0.001272 -0.000008 -0.000086 0.000032 1.000000
1646305720.028214 -0.000796 -0.000464 -0.000932 -0.000013 -0.000077 0.000030 1.000000
1646305720.053213 -0.000607 -0.000349 -0.000596 -0.000028 -0.000041 0.000040 1.000000
1646305720.103211 -0.000339 -0.000071 -0.000293 -0.000040 -0.000021 0.000045 1.000000
1646305720.128211 -0.000175 0.000067 -0.000204 -0.000031 -0.000024 0.000033 1.000000
1646305720.153209 -0.000045 0.000085 -0.000121 -0.000018 -0.000049 0.000011 1.000000
1646305720.178209 0.000031 0.000007 -0.000253 -0.000034 -0.000030 0.000008 1.000000
1646305720.203207 0.000039 -0.000132 -0.000318 -0.000042 0.000012 0.000004 1.000000
1646305720.228207 0.000057 -0.000209 -0.000518 -0.000044 0.000009 0.000046 1.000000
1646305720.253206 -0.000041 -0.000406 -0.000611 -0.000051 -0.000038 0.000056 1.000000
1646305720.278204 -0.000040 -0.000454 -0.000642 -0.000031 -0.000069 0.000045 1.000000
1646305720.303204 -0.000080 -0.000571 -0.000706 -0.000049 -0.000057 0.000034 1.000000
1646305720.328202 -0.000117 -0.000542 -0.000655 -0.000038 -0.000089 0.000031 1.000000
1646305720.353202 -0.000127 -0.000548 -0.000622 -0.000033 -0.000053 0.000038 1.000000
1646305720.378201 -0.000150 -0.000488 -0.000605 -0.000026 -0.000067 0.000034 1.000000
1646305720.403199 -0.000180 -0.000456 -0.000548 0.000005 -0.000045 0.000026 1.000000
1646305720.428199 -0.000166 -0.000414 -0.000399 -0.000001 -0.000025 0.000031 1.000000
